#Accession	No_orfs	Coverage	Abundance	Name	Description
TIGR00060	1	0.570175	0.000181	TIGR00060	L18_bact: ribosomal protein L18
TIGR00061	2	1.029702	0.000328	TIGR00061	L21: ribosomal protein L21
TIGR00062	2	0.92771	0.000296	TIGR00062	L27: ribosomal protein L27
TIGR00063	2	0.911111	0.00029	TIGR00063	folE: GTP cyclohydrolase I
TIGR00064	2	1.225806	0.000391	TIGR00064	ftsY: signal recognition particle-docking protein FtsY
TIGR00065	12	3.671388	0.001171	TIGR00065	ftsZ: cell division protein FtsZ
TIGR00066	12	5.681467	0.001813	TIGR00066	g_glut_trans: gamma-glutamyltransferase
TIGR00068	1	0.833333	0.000266	TIGR00068	glyox_I: lactoylglutathione lyase
TIGR00071	5	2.245614	0.000716	TIGR00071	hisT_truA: tRNA pseudouridine(38-40) synthase
TIGR00080	4	2.324074	0.000741	TIGR00080	pimt: protein-L-isoaspartate O-methyltransferase
TIGR00081	1	0.691756	0.00022	TIGR00081	purC: phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00089	2	1.083916	0.000345	TIGR00089	TIGR00089: radical SAM methylthiotransferase, MiaB/RimO family
TIGR00090	1	0.969696	0.000309	TIGR00090	rsfS_iojap_ybeB: ribosome silencing factor
TIGR00091	1	0.896907	0.000286	TIGR00091	TIGR00091: tRNA (guanine-N(7)-)-methyltransferase
TIGR00092	2	1.046195	0.000333	TIGR00092	TIGR00092: GTP-binding protein YchF
TIGR00094	2	0.96368	0.000307	TIGR00094	tRNA_TruD_broad: tRNA pseudouridine synthase, TruD family
TIGR00101	1	0.959798	0.000306	TIGR00101	ureG: urease accessory protein UreG
TIGR00109	2	0.888198	0.000283	TIGR00109	hemH: ferrochelatase
TIGR00111	2	1	0.000319	TIGR00111	pelota: mRNA surveillance protein pelota
TIGR00112	3	2.205323	0.000703	TIGR00112	proC: pyrroline-5-carboxylate reductase
TIGR00115	3	0.560975	0.000179	TIGR00115	tig: trigger factor
TIGR00116	1	0.566552	0.00018	TIGR00116	tsf: translation elongation factor Ts
TIGR00118	1	0.935368	0.000298	TIGR00118	acolac_lg: acetolactate synthase, large subunit, biosynthetic type
TIGR00119	5	0.70886	0.000226	TIGR00119	acolac_sm: acetolactate synthase, small subunit
TIGR00121	1	0.838297	0.000267	TIGR00121	birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase
TIGR00125	5	2.830769	0.000903	TIGR00125	cyt_tran_rel: cytidyltransferase-like domain
TIGR00126	1	0.957345	0.000305	TIGR00126	deoC: deoxyribose-phosphate aldolase
TIGR00127	4	2.547677	0.000813	TIGR00127	nadp_idh_euk: isocitrate dehydrogenase, NADP-dependent
TIGR00128	1	0.986206	0.000314	TIGR00128	fabD: malonyl CoA-acyl carrier protein transacylase
TIGR00131	2	1.762886	0.000562	TIGR00131	gal_kin: galactokinase
TIGR00133	1	0.985446	0.000314	TIGR00133	gatB: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
TIGR00135	1	0.903225	0.000288	TIGR00135	gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
TIGR00136	3	0.90909	0.00029	TIGR00136	gidA: tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR00147	12	3.030405	0.000967	TIGR00147	TIGR00147: lipid kinase, YegS/Rv2252/BmrU family
TIGR00152	2	1.170212	0.000373	TIGR00152	TIGR00152: dephospho-CoA kinase
TIGR00158	1	0.905405	0.000289	TIGR00158	L9: ribosomal protein L9
TIGR00163	2	1.971193	0.000629	TIGR00163	PS_decarb: phosphatidylserine decarboxylase
TIGR00165	3	2.699999	0.000861	TIGR00165	S18: ribosomal protein S18
TIGR00168	1	0.927272	0.000295	TIGR00168	infC: translation initiation factor IF-3
TIGR00172	1	0.983783	0.000314	TIGR00172	maf: septum formation protein Maf
TIGR00174	2	0.885416	0.000282	TIGR00174	miaA: tRNA dimethylallyltransferase
TIGR00175	3	2.808383	0.000896	TIGR00175	mito_nad_idh: isocitrate dehydrogenase, NAD-dependent
TIGR00177	3	1.459459	0.000465	TIGR00177	molyb_syn: molybdenum cofactor synthesis domain
TIGR00181	1	0.255499	8.1e-05	TIGR00181	pepF: oligoendopeptidase F
TIGR00184	1	0.988235	0.000315	TIGR00184	purA: adenylosuccinate synthase
TIGR00185	1	0.214285	6.8e-05	TIGR00185	tRNA_yibK_trmL: tRNA (cytidine(34)-2'-O)-methyltransferase
TIGR00186	2	1.295833	0.000413	TIGR00186	rRNA_methyl_3: RNA methyltransferase, TrmH family, group 3
TIGR00187	5	1.560386	0.000498	TIGR00187	ribE: riboflavin synthase, alpha subunit
TIGR00192	1	0.970873	0.000309	TIGR00192	urease_beta: urease, beta subunit
TIGR00193	1	0.980392	0.000312	TIGR00193	urease_gam: urease, gamma subunit
TIGR00195	20	12.665354	0.004042	TIGR00195	exoDNase_III: exodeoxyribonuclease III
TIGR00196	1	0.718411	0.000229	TIGR00196	yjeF_cterm: YjeF family C-terminal domain
TIGR00197	2	1.451456	0.000463	TIGR00197	yjeF_nterm: YjeF family N-terminal domain
TIGR00204	2	0.740259	0.000236	TIGR00204	dxs: 1-deoxy-D-xylulose-5-phosphate synthase
TIGR00209	3	0.74212	0.000236	TIGR00209	galT_1: galactose-1-phosphate uridylyltransferase
TIGR00212	1	0.904436	0.000288	TIGR00212	hemC: hydroxymethylbilane synthase
TIGR00214	1	0.941176	0.0003	TIGR00214	lipB: lipoyl(octanoyl) transferase
TIGR00218	1	0.933147	0.000297	TIGR00218	manA: mannose-6-phosphate isomerase, class I
TIGR00221	2	0.807894	0.000257	TIGR00221	nagA: N-acetylglucosamine-6-phosphate deacetylase
TIGR00225	48	9.573134	0.003055	TIGR00225	prc: C-terminal processing peptidase
TIGR00229	19	9.880952	0.003154	TIGR00229	sensory_box: PAS domain S-box protein
TIGR00231	122	91.59756	0.029237	TIGR00231	small_GTP: small GTP-binding protein domain
TIGR00232	2	0.767584	0.000245	TIGR00232	tktlase_bact: transketolase
TIGR00233	2	1.685975	0.000538	TIGR00233	trpS: tryptophan--tRNA ligase
TIGR00234	3	1.637931	0.000522	TIGR00234	tyrS: tyrosine--tRNA ligase
TIGR00235	4	2.47826	0.000791	TIGR00235	udk: uridine kinase
TIGR00239	2	1.940923	0.000619	TIGR00239	2oxo_dh_E1: oxoglutarate dehydrogenase (succinyl-transferring), E1 component
TIGR00249	1	0.058441	1.8e-05	TIGR00249	sixA: phosphohistidine phosphatase SixA
TIGR00251	10	4.264367	0.001361	TIGR00251	TIGR00251: TIGR00251 family protein
TIGR00256	2	1.760273	0.000561	TIGR00256	TIGR00256: D-tyrosyl-tRNA(Tyr) deacylase
TIGR00257	1	0.44878	0.000143	TIGR00257	IMPACT_YIGZ: uncharacterized protein, YigZ family
TIGR00259	1	0.992217	0.000316	TIGR00259	thylakoid_BtpA: membrane complex biogenesis protein, BtpA family
TIGR00260	3	0.75	0.000239	TIGR00260	thrC: threonine synthase
TIGR00264	6	2.612068	0.000833	TIGR00264	TIGR00264: alpha-NAC homolog
TIGR00270	1	0.454545	0.000145	TIGR00270	TIGR00270: TIGR00270 family protein
TIGR00274	3	1.171821	0.000374	TIGR00274	TIGR00274: N-acetylmuramic acid 6-phosphate etherase
TIGR00279	1	0.994186	0.000317	TIGR00279	L10e: ribosomal protein L10.e
TIGR00280	1	0.684782	0.000218	TIGR00280	L37a: ribosomal protein L37a
TIGR00283	2	1.843478	0.000588	TIGR00283	arch_pth2: peptidyl-tRNA hydrolase
TIGR00288	6	0.8375	0.000267	TIGR00288	TIGR00288: TIGR00288 family protein
TIGR00290	1	0.883408	0.000281	TIGR00290	MJ0570_dom: MJ0570-related uncharacterized domain
TIGR00291	1	0.965367	0.000308	TIGR00291	RNA_SBDS: rRNA metabolism protein, SBDS family
TIGR00293	4	3.44186	0.001098	TIGR00293	TIGR00293: prefoldin, alpha subunit
TIGR00296	1	0.71	0.000226	TIGR00296	TIGR00296: uncharacterized protein, PH0010 family
TIGR00297	2	0.953586	0.000304	TIGR00297	TIGR00297: TIGR00297 family protein
TIGR00307	4	2.417322	0.000771	TIGR00307	S8e: ribosomal protein S8.e
TIGR00308	1	0.88	0.00028	TIGR00308	TRM1: N2,N2-dimethylguanosine tRNA methyltransferase
TIGR00309	1	0.980861	0.000313	TIGR00309	V_ATPase_subD: V-type ATPase, D subunit
TIGR00310	2	1.895833	0.000605	TIGR00310	ZPR1_znf: ZPR1 zinc finger domain
TIGR00311	3	1.977443	0.000631	TIGR00311	aIF-2beta: putative translation initiation factor aIF-2, beta subunit
TIGR00318	1	0.971264	0.00031	TIGR00318	cyaB: putative adenylyl cyclase CyaB
TIGR00321	1	0.993355	0.000317	TIGR00321	dhys: deoxyhypusine synthase
TIGR00322	2	1.99375	0.000636	TIGR00322	diphth2_R: diphthamide biosynthesis enzyme Dph1/Dph2 domain
TIGR00323	1	1	0.000319	TIGR00323	eIF-6: putative translation initiation factor eIF-6
TIGR00324	2	1.062146	0.000339	TIGR00324	endA: tRNA-intron endonuclease
TIGR00326	1	0.276967	8.8e-05	TIGR00326	eubact_ribD: riboflavin biosynthesis protein RibD
TIGR00327	1	0.983606	0.000313	TIGR00327	secE_euk_arch: protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic
TIGR00335	1	0.898148	0.000286	TIGR00335	primase_sml: putative DNA primase, eukaryotic-type, small subunit
TIGR00336	2	1.965317	0.000627	TIGR00336	pyrE: orotate phosphoribosyltransferase
TIGR00337	1	0.992395	0.000316	TIGR00337	PyrG: CTP synthase
TIGR00338	1	0.972602	0.00031	TIGR00338	serB: phosphoserine phosphatase SerB
TIGR00339	1	0.992167	0.000316	TIGR00339	sopT: sulfate adenylyltransferase
TIGR00341	2	0.393846	0.000125	TIGR00341	TIGR00341: TIGR00341 family protein
TIGR00343	1	0.937282	0.000299	TIGR00343	TIGR00343: pyridoxal 5'-phosphate synthase, synthase subunit Pdx1
TIGR00344	2	1.949232	0.000622	TIGR00344	alaS: alanine--tRNA ligase
TIGR00345	1	0.993311	0.000317	TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
TIGR00355	2	1.103718	0.000352	TIGR00355	purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00357	2	1.83582	0.000585	TIGR00357	TIGR00357: methionine-R-sulfoxide reductase
TIGR00365	4	3.232323	0.001031	TIGR00365	TIGR00365: monothiol glutaredoxin, Grx4 family
TIGR00367	3	2.961538	0.000945	TIGR00367	TIGR00367: K+-dependent Na+/Ca+ exchanger homolog
TIGR00368	3	0.619238	0.000197	TIGR00368	TIGR00368: Mg chelatase-like protein
TIGR00369	1	0.794871	0.000253	TIGR00369	unchar_dom_1: uncharacterized domain 1
TIGR00372	2	0.833333	0.000266	TIGR00372	cas4: CRISPR-associated protein Cas4
TIGR00376	25	7.765258	0.002478	TIGR00376	TIGR00376: putative DNA helicase
TIGR00378	2	0.421203	0.000134	TIGR00378	cax: calcium/proton exchanger
TIGR00381	3	0.426735	0.000136	TIGR00381	cdhD: CO dehydrogenase/acetyl-CoA synthase, delta subunit
TIGR00382	2	0.961352	0.000306	TIGR00382	clpX: ATP-dependent Clp protease, ATP-binding subunit ClpX
TIGR00384	1	1	0.000319	TIGR00384	dhsB: succinate dehydrogenase and fumarate reductase iron-sulfur protein
TIGR00385	2	1.052023	0.000335	TIGR00385	dsbE: periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily
TIGR00387	7	2.305084	0.000735	TIGR00387	glcD: glycolate oxidase, subunit GlcD
TIGR00389	5	1.410619	0.00045	TIGR00389	glyS_dimeric: glycine--tRNA ligase
TIGR00390	2	0.24263	7.7e-05	TIGR00390	hslU: ATP-dependent protease HslVU, ATPase subunit
TIGR00392	3	1.984901	0.000633	TIGR00392	ileS: isoleucine--tRNA ligase
TIGR00395	1	0.091684	2.9e-05	TIGR00395	leuS_arch: leucine--tRNA ligase
TIGR00396	1	0.941874	0.0003	TIGR00396	leuS_bact: leucine--tRNA ligase
TIGR00398	5	1.803773	0.000575	TIGR00398	metG: methionine--tRNA ligase
TIGR00399	3	1.690647	0.000539	TIGR00399	metG_C_term: methionine--tRNA ligase, beta subunit
TIGR00401	1	1	0.000319	TIGR00401	msrA: peptide-methionine (S)-S-oxide reductase
TIGR00405	5	1.593103	0.000508	TIGR00405	L26e_arch: ribosomal protein L24
TIGR00406	6	1.239583	0.000395	TIGR00406	prmA: ribosomal protein L11 methyltransferase
TIGR00408	2	1.027368	0.000327	TIGR00408	proS_fam_I: proline--tRNA ligase
TIGR00409	3	0.767605	0.000245	TIGR00409	proS_fam_II: proline--tRNA ligase
TIGR00414	4	2.069377	0.00066	TIGR00414	serS: serine--tRNA ligase
TIGR00417	5	2.05166	0.000654	TIGR00417	speE: spermidine synthase
TIGR00418	2	1.019469	0.000325	TIGR00418	thrS: threonine--tRNA ligase
TIGR00419	1	1	0.000319	TIGR00419	tim: triose-phosphate isomerase
TIGR00420	1	0.934472	0.000298	TIGR00420	trmU: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TIGR00422	4	2.053302	0.000655	TIGR00422	valS: valine--tRNA ligase
TIGR00425	6	1.829192	0.000583	TIGR00425	CBF5: putative rRNA pseudouridine synthase
TIGR00426	3	2.086956	0.000666	TIGR00426	TIGR00426: competence protein ComEA helix-hairpin-helix repeat region
TIGR00430	2	1.630434	0.00052	TIGR00430	Q_tRNA_tgt: tRNA-guanine transglycosylase
TIGR00431	3	1.880952	0.0006	TIGR00431	TruB: tRNA pseudouridine(55) synthase
TIGR00434	2	0.556074	0.000177	TIGR00434	cysH: phosophoadenylyl-sulfate reductase
TIGR00435	1	0.729613	0.000232	TIGR00435	cysS: cysteine--tRNA ligase
TIGR00436	5	1.177777	0.000375	TIGR00436	era: GTP-binding protein Era
TIGR00437	1	0.109427	3.4e-05	TIGR00437	feoB: ferrous iron transport protein B
TIGR00438	3	3	0.000957	TIGR00438	rrmJ: ribosomal RNA large subunit methyltransferase J
TIGR00440	1	0.490458	0.000156	TIGR00440	glnS: glutamine--tRNA ligase
TIGR00442	3	2.009852	0.000641	TIGR00442	hisS: histidine--tRNA ligase
TIGR00443	1	0.171974	5.4e-05	TIGR00443	hisZ_biosyn_reg: ATP phosphoribosyltransferase, regulatory subunit
TIGR00446	10	4.598484	0.001467	TIGR00446	nop2p: NOL1/NOP2/sun family putative RNA methylase
TIGR00447	1	0.93617	0.000298	TIGR00447	pth: aminoacyl-tRNA hydrolase
TIGR00448	2	1.312849	0.000419	TIGR00448	rpoE: DNA-directed RNA polymerase
TIGR00450	4	1.015695	0.000324	TIGR00450	mnmE_trmE_thdF: tRNA modification GTPase TrmE
TIGR00451	1	0.168224	5.3e-05	TIGR00451	unchar_dom_2: uncharacterized domain 2
TIGR00452	1	0.344936	0.00011	TIGR00452	TIGR00452: tRNA (mo5U34)-methyltransferase
TIGR00453	1	0.990867	0.000316	TIGR00453	ispD: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
TIGR00455	1	0.896739	0.000286	TIGR00455	apsK: adenylyl-sulfate kinase
TIGR00456	3	1.629173	0.00052	TIGR00456	argS: arginine--tRNA ligase
TIGR00457	2	1.973626	0.000629	TIGR00457	asnS: asparagine--tRNA ligase
TIGR00458	1	0.983644	0.000313	TIGR00458	aspS_nondisc: aspartate--tRNA(Asn) ligase
TIGR00459	2	0.819112	0.000261	TIGR00459	aspS_bact: aspartate--tRNA ligase
TIGR00460	2	1.746031	0.000557	TIGR00460	fmt: methionyl-tRNA formyltransferase
TIGR00461	2	0.932907	0.000297	TIGR00461	gcvP: glycine dehydrogenase
TIGR00463	1	0.858928	0.000274	TIGR00463	gltX_arch: glutamate--tRNA ligase
TIGR00464	1	0.987234	0.000315	TIGR00464	gltX_bact: glutamate--tRNA ligase
TIGR00468	3	0.966049	0.000308	TIGR00468	pheS: phenylalanine--tRNA ligase, alpha subunit
TIGR00469	5	1.456762	0.000464	TIGR00469	pheS_mito: phenylalanine--tRNA ligase
TIGR00471	2	1.132486	0.000361	TIGR00471	pheT_arch: phenylalanine--tRNA ligase, beta subunit
TIGR00473	2	0.320261	0.000102	TIGR00473	pssA: CDP-diacylglycerol-serine O-phosphatidyltransferase
TIGR00475	7	1.719449	0.000548	TIGR00475	selB: selenocysteine-specific translation elongation factor
TIGR00476	2	1.721264	0.000549	TIGR00476	selD: selenide, water dikinase
TIGR00479	6	1.416666	0.000452	TIGR00479	rumA: 23S rRNA (uracil-5-)-methyltransferase RumA
TIGR00481	2	0.429577	0.000137	TIGR00481	TIGR00481: Raf kinase inhibitor-like protein, YbhB/YbcL family
TIGR00482	2	1.108247	0.000353	TIGR00482	TIGR00482: nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00483	5	3.185011	0.001016	TIGR00483	EF-1_alpha: translation elongation factor EF-1, subunit alpha
TIGR00484	3	1.984081	0.000633	TIGR00484	EF-G: translation elongation factor G
TIGR00485	3	2.215736	0.000707	TIGR00485	EF-Tu: translation elongation factor Tu
TIGR00486	1	0.988	0.000315	TIGR00486	YbgI_SA1388: dinuclear metal center protein, YbgI/SA1388 family
TIGR00487	7	1.211243	0.000386	TIGR00487	IF-2: translation initiation factor IF-2
TIGR00489	2	0.988636	0.000315	TIGR00489	aEF-1_beta: translation elongation factor aEF-1 beta
TIGR00490	10	2.625	0.000837	TIGR00490	aEF-2: translation elongation factor aEF-2
TIGR00491	3	1.070707	0.000341	TIGR00491	aIF-2: translation initiation factor aIF-2
TIGR00492	1	0.932249	0.000297	TIGR00492	alr: alanine racemase
TIGR00493	2	1.78125	0.000568	TIGR00493	clpP: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
TIGR00495	3	1.08355	0.000345	TIGR00495	crvDNA_42K: DNA-binding protein, 42 kDa
TIGR00496	3	1.664772	0.000531	TIGR00496	frr: ribosome recycling factor
TIGR00499	1	0.993951	0.000317	TIGR00499	lysS_bact: lysine--tRNA ligase
TIGR00500	2	1.963562	0.000626	TIGR00500	met_pdase_I: methionine aminopeptidase, type I
TIGR00501	1	0.969491	0.000309	TIGR00501	met_pdase_II: methionine aminopeptidase, type II
TIGR00502	2	1.980694	0.000632	TIGR00502	nagB: glucosamine-6-phosphate deaminase
TIGR00504	4	1.610328	0.000514	TIGR00504	pyro_pdase: pyroglutamyl-peptidase I
TIGR00510	1	0.950331	0.000303	TIGR00510	lipA: lipoyl synthase
TIGR00511	3	1.887043	0.000602	TIGR00511	ribulose_e2b2: ribose-1,5-bisphosphate isomerase, e2b2 family
TIGR00512	5	2.059701	0.000657	TIGR00512	salvage_mtnA: S-methyl-5-thioribose-1-phosphate isomerase
TIGR00514	6	2.351893	0.00075	TIGR00514	accC: acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR00517	2	1.90909	0.000609	TIGR00517	acyl_carrier: acyl carrier protein
TIGR00518	4	0.821621	0.000262	TIGR00518	alaDH: alanine dehydrogenase
TIGR00519	1	0.991097	0.000316	TIGR00519	asnASE_I: L-asparaginase, type I
TIGR00521	3	0.903061	0.000288	TIGR00521	coaBC_dfp: phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
TIGR00522	1	0.996124	0.000317	TIGR00522	dph5: diphthine synthase
TIGR00523	3	2.663265	0.00085	TIGR00523	eIF-1A: translation initiation factor eIF-1A
TIGR00527	2	1.418604	0.000452	TIGR00527	gcvH: glycine cleavage system H protein
TIGR00528	3	2.207182	0.000704	TIGR00528	gcvT: glycine cleavage system T protein
TIGR00530	7	4.761538	0.001519	TIGR00530	AGP_acyltrn: 1-acylglycerol-3-phosphate O-acyltransferases
TIGR00535	1	0.988023	0.000315	TIGR00535	SAM_DCase: S-adenosylmethionine decarboxylase proenzyme
TIGR00537	1	0.988826	0.000315	TIGR00537	hemK_rel_arch: putative methylase
TIGR00539	1	0.927977	0.000296	TIGR00539	hemN_rel: putative oxygen-independent coproporphyrinogen III oxidase
TIGR00540	3	0.38961	0.000124	TIGR00540	TPR_hemY_coli: heme biosynthesis-associated TPR protein
TIGR00545	1	0.892638	0.000284	TIGR00545	lipoyltrans: lipoyltransferase and lipoate-protein ligase
TIGR00549	1	1	0.000319	TIGR00549	mevalon_kin: mevalonate kinase
TIGR00552	2	0.709163	0.000226	TIGR00552	nadE: NAD+ synthetase
TIGR00555	5	3.30921	0.001056	TIGR00555	panK_eukar: pantothenate kinase
TIGR00556	1	0.484375	0.000154	TIGR00556	pantethn_trn: phosphopantetheine--protein transferase domain
TIGR00558	2	1.56682	0.0005	TIGR00558	pdxH: pyridoxamine 5'-phosphate oxidase
TIGR00560	7	2.852459	0.00091	TIGR00560	pgsA: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
TIGR00561	1	0.996086	0.000317	TIGR00561	pntA: NAD(P)(+) transhydrogenase (AB-specific), alpha subunit
TIGR00562	4	1.506382	0.00048	TIGR00562	proto_IX_ox: protoporphyrinogen oxidase
TIGR00563	3	0.8627	0.000275	TIGR00563	rsmB: 16S rRNA (cytosine(967)-C(5))-methyltransferase
TIGR00567	1	0.989583	0.000315	TIGR00567	3mg: DNA-3-methyladenine glycosylase
TIGR00568	2	1.907514	0.000608	TIGR00568	alkb: alkylated DNA repair protein AlkB
TIGR00569	7	3.606557	0.001151	TIGR00569	ccl1: cyclin ccl1
TIGR00570	1	0.993527	0.000317	TIGR00570	cdk7: CDK-activating kinase assembly factor MAT1
TIGR00574	4	3.01518	0.000962	TIGR00574	dnl1: DNA ligase I, ATP-dependent (dnl1)
TIGR00575	2	0.173312	5.5e-05	TIGR00575	dnlj: DNA ligase, NAD-dependent
TIGR00576	1	0.832167	0.000265	TIGR00576	dut: dUTP diphosphatase
TIGR00578	3	1.43686	0.000458	TIGR00578	ku70: ATP-dependent DNA helicase II, 70 kDa subunit (ku70)
TIGR00580	3	0.237269	7.5e-05	TIGR00580	mfd: transcription-repair coupling factor
TIGR00581	1	1	0.000319	TIGR00581	moaC: molybdenum cofactor biosynthesis protein C
TIGR00583	1	0.99753	0.000318	TIGR00583	mre11: DNA repair protein (mre11)
TIGR00584	1	0.804878	0.000256	TIGR00584	mug: mismatch-specific thymine-DNA glycosylate (mug)
TIGR00585	8	3.603833	0.00115	TIGR00585	mutl: DNA mismatch repair protein MutL
TIGR00586	4	2.503875	0.000799	TIGR00586	mutt: mutator mutT protein
TIGR00587	1	0.992831	0.000316	TIGR00587	nfo: apurinic endonuclease (APN1)
TIGR00588	1	0.96129	0.000306	TIGR00588	ogg: 8-oxoguanine DNA-glycosylase (ogg)
TIGR00589	1	0.9875	0.000315	TIGR00589	ogt: methylated-DNA--[protein]-cysteine S-methyltransferase
TIGR00590	1	0.996138	0.000317	TIGR00590	pcna: proliferating cell nuclear antigen (pcna)
TIGR00592	11	1.820578	0.000581	TIGR00592	pol2: DNA polymerase (pol2)
TIGR00593	6	1.286516	0.00041	TIGR00593	pola: DNA polymerase I
TIGR00596	2	0.940959	0.0003	TIGR00596	rad1: DNA repair protein (rad1)
TIGR00598	1	1	0.000319	TIGR00598	rad14: DNA repair protein
TIGR00599	50	7.108312	0.002268	TIGR00599	rad18: DNA repair protein rad18
TIGR00600	9	1.30895	0.000417	TIGR00600	rad2: DNA excision repair protein (rad2)
TIGR00601	25	5.162729	0.001647	TIGR00601	rad23: UV excision repair protein Rad23
TIGR00602	5	1.039062	0.000331	TIGR00602	rad24: checkpoint protein rad24
TIGR00603	1	0.993188	0.000317	TIGR00603	rad25: DNA repair helicase rad25
TIGR00604	8	2.626062	0.000838	TIGR00604	rad3: DNA repair helicase (rad3)
TIGR00605	3	0.305635	9.7e-05	TIGR00605	rad4: DNA repair protein rad4
TIGR00606	1	0.430968	0.000137	TIGR00606	rad50: rad50
TIGR00607	1	0.937888	0.000299	TIGR00607	rad52: recombination protein rad52
TIGR00609	5	0.283404	9e-05	TIGR00609	recB: exodeoxyribonuclease V, beta subunit
TIGR00614	15	5.165957	0.001648	TIGR00614	recQ_fam: ATP-dependent DNA helicase, RecQ family
TIGR00617	4	1.417763	0.000452	TIGR00617	rpa1: replication factor-a protein 1 (rpa1)
TIGR00621	2	0.56024	0.000178	TIGR00621	ssb: single-stranded DNA-binding protein
TIGR00622	1	0.991071	0.000316	TIGR00622	ssl1: transcription factor ssl1
TIGR00625	1	0.678571	0.000216	TIGR00625	tfb2: transcription factor Tfb2
TIGR00628	1	0.990476	0.000316	TIGR00628	ung: uracil-DNA glycosylase
TIGR00631	4	0.305471	9.7e-05	TIGR00631	uvrb: excinuclease ABC subunit B
TIGR00633	35	28.482352	0.009091	TIGR00633	xth: exodeoxyribonuclease III (xth)
TIGR00635	5	1.17377	0.000374	TIGR00635	ruvB: Holliday junction DNA helicase RuvB
