"busco_id"	"mRNA"	"genome"	"count"	"description"	"name"	"type"	"id"
"111746at33208"	"maker-ctg120_pilon-protein2genome-gene-1.10-mRNA-1"	"R07B-5"	440	"Small-subunit processome, Utp13"	"IPR013934"	"interpro"	"IPR013934"
"114954at33208"	"PE_Scaf8009_1.7"	"Pec"	443	"PCIF1, WW domain"	"IPR022035"	"interpro"	"IPR022035"
"114954at33208"	"PE_Scaf8009_1.7"	"Pec"	421	"WW domain"	"IPR001202"	"interpro"	"IPR001202"
"114954at33208"	"augustus-ctg447_pilon-processed-gene-5.31-mRNA-1"	"R07B-5"	443	"PCIF1, WW domain"	"IPR022035"	"interpro"	"IPR022035"
"114954at33208"	"augustus-ctg447_pilon-processed-gene-5.31-mRNA-1"	"R07B-5"	421	"WW domain"	"IPR001202"	"interpro"	"IPR001202"
"114954at33208"	"maker-ctg506_pilon-augustus-gene-2.3-mRNA-1"	"P08H-3"	443	"PCIF1, WW domain"	"IPR022035"	"interpro"	"IPR022035"
"114954at33208"	"maker-ctg506_pilon-augustus-gene-2.3-mRNA-1"	"P08H-3"	421	"WW domain"	"IPR001202"	"interpro"	"IPR001202"
"115878at33208"	"PE_Scaf4746_6.5"	"Pec"	452	"DNA helicase, DnaB-like, C-terminal"	"IPR007694"	"interpro"	"IPR007694"
"115878at33208"	"PE_Scaf4746_6.5"	"Pec"	233	"KaiC-like domain"	"IPR014774"	"interpro"	"IPR014774"
"115878at33208"	"augustus-ctg3_pilon-processed-gene-23.80-mRNA-1"	"P08H-3"	452	"DNA helicase, DnaB-like, C-terminal"	"IPR007694"	"interpro"	"IPR007694"
"115878at33208"	"augustus-ctg3_pilon-processed-gene-23.80-mRNA-1"	"P08H-3"	233	"KaiC-like domain"	"IPR014774"	"interpro"	"IPR014774"
"115878at33208"	"maker-ctg265_pilon-protein2genome-gene-1.14-mRNA-1"	"R07B-5"	452	"DNA helicase, DnaB-like, C-terminal"	"IPR007694"	"interpro"	"IPR007694"
"115878at33208"	"maker-ctg265_pilon-protein2genome-gene-1.14-mRNA-1"	"R07B-5"	233	"KaiC-like domain"	"IPR014774"	"interpro"	"IPR014774"
"118209at33208"	"augustus-ctg15_pilon-processed-gene-17.6-mRNA-1"	"P08H-3"	498	"O-GlcNAc transferase, C-terminal"	"IPR029489"	"interpro"	"IPR029489"
"118209at33208"	"augustus-ctg15_pilon-processed-gene-17.6-mRNA-1"	"P08H-3"	467	"Tetratricopeptide repeat 1"	"IPR001440"	"interpro"	"IPR001440"
"118209at33208"	"augustus-ctg15_pilon-processed-gene-17.6-mRNA-1"	"P08H-3"	349	"Tetratricopeptide repeat 2"	"IPR013105"	"interpro"	"IPR013105"
"118209at33208"	"augustus-ctg15_pilon-processed-gene-17.6-mRNA-1"	"P08H-3"	485	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"118209at33208"	"maker-ctg183_pilon-protein2genome-gene-4.27-mRNA-1"	"R07B-5"	498	"O-GlcNAc transferase, C-terminal"	"IPR029489"	"interpro"	"IPR029489"
"118209at33208"	"maker-ctg183_pilon-protein2genome-gene-4.27-mRNA-1"	"R07B-5"	467	"Tetratricopeptide repeat 1"	"IPR001440"	"interpro"	"IPR001440"
"118209at33208"	"maker-ctg183_pilon-protein2genome-gene-4.27-mRNA-1"	"R07B-5"	349	"Tetratricopeptide repeat 2"	"IPR013105"	"interpro"	"IPR013105"
"118209at33208"	"maker-ctg183_pilon-protein2genome-gene-4.27-mRNA-1"	"R07B-5"	485	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"118209at33208"	"PE_Scaf2442_2.5"	"Pec"	498	"O-GlcNAc transferase, C-terminal"	"IPR029489"	"interpro"	"IPR029489"
"118209at33208"	"PE_Scaf2442_2.5"	"Pec"	467	"Tetratricopeptide repeat 1"	"IPR001440"	"interpro"	"IPR001440"
"118209at33208"	"PE_Scaf2442_2.5"	"Pec"	349	"Tetratricopeptide repeat 2"	"IPR013105"	"interpro"	"IPR013105"
"118209at33208"	"PE_Scaf2442_2.5"	"Pec"	485	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"119252at33208"	"maker-ctg864_pilon-augustus-gene-0.36-mRNA-1"	"P08H-3"	432	"WHEP-TRS domain"	"IPR000738"	"interpro"	"IPR000738"
"119252at33208"	"maker-ctg864_pilon-augustus-gene-0.36-mRNA-1"	"P08H-3"	466	"Anticodon-binding"	"IPR004154"	"interpro"	"IPR004154"
"119252at33208"	"maker-ctg864_pilon-augustus-gene-0.36-mRNA-1"	"P08H-3"	467	"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)"	"IPR002314"	"interpro"	"IPR002314"
"119252at33208"	"augustus-ctg220_pilon-processed-gene-0.3-mRNA-1"	"R07B-5"	432	"WHEP-TRS domain"	"IPR000738"	"interpro"	"IPR000738"
"119252at33208"	"augustus-ctg220_pilon-processed-gene-0.3-mRNA-1"	"R07B-5"	466	"Anticodon-binding"	"IPR004154"	"interpro"	"IPR004154"
"119252at33208"	"augustus-ctg220_pilon-processed-gene-0.3-mRNA-1"	"R07B-5"	467	"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)"	"IPR002314"	"interpro"	"IPR002314"
"119252at33208"	"PE_Scaf5652_0.8"	"Pec"	432	"WHEP-TRS domain"	"IPR000738"	"interpro"	"IPR000738"
"119252at33208"	"PE_Scaf5652_0.8"	"Pec"	466	"Anticodon-binding"	"IPR004154"	"interpro"	"IPR004154"
"119252at33208"	"PE_Scaf5652_0.8"	"Pec"	467	"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)"	"IPR002314"	"interpro"	"IPR002314"
"119591at33208"	"augustus-ctg77_pilon-processed-gene-2.33-mRNA-1"	"P08H-3"	377	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"119591at33208"	"augustus-ctg26_pilon-processed-gene-2.44-mRNA-1"	"R07B-5"	377	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"119591at33208"	"PE_Scaf4750_9.4"	"Pec"	377	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"121127at33208"	"PE_Scaf11984_5.5"	"Pec"	467	"N-acetyltransferase B complex, non-catalytic subunit"	"IPR019183"	"interpro"	"IPR019183"
"121127at33208"	"maker-ctg214_pilon-augustus-gene-3.25-mRNA-1"	"P08H-3"	467	"N-acetyltransferase B complex, non-catalytic subunit"	"IPR019183"	"interpro"	"IPR019183"
"121127at33208"	"maker-ctg12_pilon-protein2genome-gene-11.37-mRNA-1"	"R07B-5"	467	"N-acetyltransferase B complex, non-catalytic subunit"	"IPR019183"	"interpro"	"IPR019183"
"123923at33208"	"maker-ctg625_pilon-protein2genome-gene-1.69-mRNA-1"	"R07B-5"	461	"RINT-1/Tip20"	"IPR007528"	"interpro"	"IPR007528"
"123923at33208"	"maker-ctg34_pilon-augustus-gene-8.131-mRNA-1"	"P08H-3"	461	"RINT-1/Tip20"	"IPR007528"	"interpro"	"IPR007528"
"123923at33208"	"PE_Scaf9907_4.14"	"Pec"	461	"RINT-1/Tip20"	"IPR007528"	"interpro"	"IPR007528"
"124302at33208"	"maker-ctg899_pilon-protein2genome-gene-0.27-mRNA-1"	"R07B-5"	460	"Trafficking protein particle complex subunit 11"	"IPR021773"	"interpro"	"IPR021773"
"124302at33208"	"maker-ctg899_pilon-protein2genome-gene-0.27-mRNA-1"	"R07B-5"	261	"Gryzun, putative trafficking through Golgi"	"IPR012880"	"interpro"	"IPR012880"
"124302at33208"	"maker-ctg899_pilon-protein2genome-gene-0.27-mRNA-1"	"R07B-5"	384	"Trafficking protein particle complex subunit 11, C-terminal"	"IPR025876"	"interpro"	"IPR025876"
"124302at33208"	"PE_Scaf603_1.9"	"Pec"	460	"Trafficking protein particle complex subunit 11"	"IPR021773"	"interpro"	"IPR021773"
"124302at33208"	"PE_Scaf603_1.9"	"Pec"	261	"Gryzun, putative trafficking through Golgi"	"IPR012880"	"interpro"	"IPR012880"
"124302at33208"	"PE_Scaf603_1.9"	"Pec"	384	"Trafficking protein particle complex subunit 11, C-terminal"	"IPR025876"	"interpro"	"IPR025876"
"124302at33208"	"augustus-ctg12_pilon-processed-gene-3.97-mRNA-1"	"P08H-3"	460	"Trafficking protein particle complex subunit 11"	"IPR021773"	"interpro"	"IPR021773"
"124302at33208"	"augustus-ctg12_pilon-processed-gene-3.97-mRNA-1"	"P08H-3"	261	"Gryzun, putative trafficking through Golgi"	"IPR012880"	"interpro"	"IPR012880"
"124302at33208"	"augustus-ctg12_pilon-processed-gene-3.97-mRNA-1"	"P08H-3"	384	"Trafficking protein particle complex subunit 11, C-terminal"	"IPR025876"	"interpro"	"IPR025876"
"127766at33208"	"augustus_masked-ctg786_pilon-processed-gene-1.99-mRNA-1"	"R07B-5"	467	"Vesicle tethering protein Uso1/P115-like , head domain"	"IPR006953"	"interpro"	"IPR006953"
"127766at33208"	"augustus_masked-ctg786_pilon-processed-gene-1.99-mRNA-1"	"R07B-5"	336	"Vesicle tethering protein p115, armadillo tether-repeat"	"IPR041209"	"interpro"	"IPR041209"
"127766at33208"	"augustus_masked-ctg786_pilon-processed-gene-1.99-mRNA-1"	"R07B-5"	381	"Uso1/p115-like vesicle tethering protein, C-terminal"	"IPR006955"	"interpro"	"IPR006955"
"127766at33208"	"augustus-ctg208_pilon-processed-gene-3.24-mRNA-1"	"P08H-3"	467	"Vesicle tethering protein Uso1/P115-like , head domain"	"IPR006953"	"interpro"	"IPR006953"
"127766at33208"	"augustus-ctg208_pilon-processed-gene-3.24-mRNA-1"	"P08H-3"	336	"Vesicle tethering protein p115, armadillo tether-repeat"	"IPR041209"	"interpro"	"IPR041209"
"127766at33208"	"augustus-ctg208_pilon-processed-gene-3.24-mRNA-1"	"P08H-3"	381	"Uso1/p115-like vesicle tethering protein, C-terminal"	"IPR006955"	"interpro"	"IPR006955"
"127766at33208"	"PE_Scaf9759_4.9"	"Pec"	467	"Vesicle tethering protein Uso1/P115-like , head domain"	"IPR006953"	"interpro"	"IPR006953"
"127766at33208"	"PE_Scaf9759_4.9"	"Pec"	336	"Vesicle tethering protein p115, armadillo tether-repeat"	"IPR041209"	"interpro"	"IPR041209"
"127766at33208"	"PE_Scaf9759_4.9"	"Pec"	381	"Uso1/p115-like vesicle tethering protein, C-terminal"	"IPR006955"	"interpro"	"IPR006955"
"129179at33208"	"PE_Scaf9643_0.10"	"Pec"	453	"Cleavage and polyadenylation specificity factor 2, C-terminal"	"IPR025069"	"interpro"	"IPR025069"
"129179at33208"	"PE_Scaf9643_0.10"	"Pec"	447	"Zn-dependent metallo-hydrolase, RNA specificity domain"	"IPR011108"	"interpro"	"IPR011108"
"129179at33208"	"PE_Scaf9643_0.10"	"Pec"	467	"Beta-Casp domain"	"IPR022712"	"interpro"	"IPR022712"
"129179at33208"	"PE_Scaf9643_0.10"	"Pec"	469	"Metallo-beta-lactamase"	"IPR001279"	"interpro"	"IPR001279"
"129179at33208"	"maker-ctg46_pilon-protein2genome-gene-1.93-mRNA-1"	"R07B-5"	453	"Cleavage and polyadenylation specificity factor 2, C-terminal"	"IPR025069"	"interpro"	"IPR025069"
"129179at33208"	"maker-ctg46_pilon-protein2genome-gene-1.93-mRNA-1"	"R07B-5"	447	"Zn-dependent metallo-hydrolase, RNA specificity domain"	"IPR011108"	"interpro"	"IPR011108"
"129179at33208"	"maker-ctg46_pilon-protein2genome-gene-1.93-mRNA-1"	"R07B-5"	467	"Beta-Casp domain"	"IPR022712"	"interpro"	"IPR022712"
"129179at33208"	"maker-ctg46_pilon-protein2genome-gene-1.93-mRNA-1"	"R07B-5"	469	"Metallo-beta-lactamase"	"IPR001279"	"interpro"	"IPR001279"
"130245at33208"	"augustus-ctg19_pilon-processed-gene-1.45-mRNA-1"	"P08H-3"	488	"MIF4G-like, type 1"	"IPR015172"	"interpro"	"IPR015172"
"130245at33208"	"augustus-ctg19_pilon-processed-gene-1.45-mRNA-1"	"P08H-3"	457	"MIF4G-like, type 2"	"IPR015174"	"interpro"	"IPR015174"
"130245at33208"	"augustus-ctg19_pilon-processed-gene-1.45-mRNA-1"	"P08H-3"	473	"MIF4G-like, type 3"	"IPR003890"	"interpro"	"IPR003890"
"130245at33208"	"PE_Scaf3078_24.5"	"Pec"	488	"MIF4G-like, type 1"	"IPR015172"	"interpro"	"IPR015172"
"130245at33208"	"PE_Scaf3078_24.5"	"Pec"	457	"MIF4G-like, type 2"	"IPR015174"	"interpro"	"IPR015174"
"130245at33208"	"PE_Scaf3078_24.5"	"Pec"	473	"MIF4G-like, type 3"	"IPR003890"	"interpro"	"IPR003890"
"130245at33208"	"augustus-ctg537_pilon-processed-gene-0.5-mRNA-1"	"R07B-5"	488	"MIF4G-like, type 1"	"IPR015172"	"interpro"	"IPR015172"
"130245at33208"	"augustus-ctg537_pilon-processed-gene-0.5-mRNA-1"	"R07B-5"	457	"MIF4G-like, type 2"	"IPR015174"	"interpro"	"IPR015174"
"130245at33208"	"augustus-ctg537_pilon-processed-gene-0.5-mRNA-1"	"R07B-5"	473	"MIF4G-like, type 3"	"IPR003890"	"interpro"	"IPR003890"
"130256at33208"	"augustus-ctg1026_pilon-processed-gene-0.11-mRNA-1"	"P08H-3"	444	"AARP2CN"	"IPR012948"	"interpro"	"IPR012948"
"130256at33208"	"augustus-ctg1026_pilon-processed-gene-0.11-mRNA-1"	"P08H-3"	464	"Ribosome biogenesis protein BMS1/TSR1, C-terminal"	"IPR007034"	"interpro"	"IPR007034"
"131349at33208"	"augustus-ctg3_pilon-processed-gene-30.89-mRNA-1"	"P08H-3"	444	"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding"	"IPR013155"	"interpro"	"IPR013155"
"131349at33208"	"augustus-ctg3_pilon-processed-gene-30.89-mRNA-1"	"P08H-3"	362	"Methionyl/Leucyl tRNA synthetase"	"IPR015413"	"interpro"	"IPR015413"
"131349at33208"	"augustus-ctg3_pilon-processed-gene-30.89-mRNA-1"	"P08H-3"	315	"tRNA synthetases class I, catalytic domain"	"IPR032678"	"interpro"	"IPR032678"
"131349at33208"	"augustus-ctg3_pilon-processed-gene-30.89-mRNA-1"	"P08H-3"	471	"Aminoacyl-tRNA synthetase, class Ia"	"IPR002300"	"interpro"	"IPR002300"
"131349at33208"	"PE_Scaf3629_4.15"	"Pec"	444	"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding"	"IPR013155"	"interpro"	"IPR013155"
"131349at33208"	"PE_Scaf3629_4.15"	"Pec"	362	"Methionyl/Leucyl tRNA synthetase"	"IPR015413"	"interpro"	"IPR015413"
"131349at33208"	"PE_Scaf3629_4.15"	"Pec"	315	"tRNA synthetases class I, catalytic domain"	"IPR032678"	"interpro"	"IPR032678"
"131349at33208"	"PE_Scaf3629_4.15"	"Pec"	471	"Aminoacyl-tRNA synthetase, class Ia"	"IPR002300"	"interpro"	"IPR002300"
"131848at33208"	"maker-ctg458_pilon-protein2genome-gene-3.44-mRNA-1"	"R07B-5"	114	"UPF0505 family"	"IPR029705"	"interpro"	"IPR029705"
"131848at33208"	"augustus-ctg10_pilon-processed-gene-11.82-mRNA-1"	"P08H-3"	114	"UPF0505 family"	"IPR029705"	"interpro"	"IPR029705"
"131848at33208"	"PE_Scaf2192_1.8"	"Pec"	114	"UPF0505 family"	"IPR029705"	"interpro"	"IPR029705"
"132087at33208"	"PE_Scaf11359_1.8"	"Pec"	404	"Symplekin/Pta1, N-terminal"	"IPR032460"	"interpro"	"IPR032460"
"132087at33208"	"PE_Scaf11359_1.8"	"Pec"	408	"Symplekin  C-terminal"	"IPR022075"	"interpro"	"IPR022075"
"132087at33208"	"augustus-ctg204_pilon-processed-gene-9.1-mRNA-1"	"P08H-3"	404	"Symplekin/Pta1, N-terminal"	"IPR032460"	"interpro"	"IPR032460"
"132087at33208"	"augustus-ctg204_pilon-processed-gene-9.1-mRNA-1"	"P08H-3"	408	"Symplekin  C-terminal"	"IPR022075"	"interpro"	"IPR022075"
"132087at33208"	"maker-ctg413_pilon-protein2genome-gene-0.16-mRNA-1"	"R07B-5"	404	"Symplekin/Pta1, N-terminal"	"IPR032460"	"interpro"	"IPR032460"
"132087at33208"	"maker-ctg413_pilon-protein2genome-gene-0.16-mRNA-1"	"R07B-5"	408	"Symplekin  C-terminal"	"IPR022075"	"interpro"	"IPR022075"
"134492at33208"	"augustus-ctg446_pilon-processed-gene-2.84-mRNA-1"	"P08H-3"	181	"Peptidase M1, membrane alanine aminopeptidase"	"IPR014782"	"interpro"	"IPR014782"
"134492at33208"	"augustus-ctg446_pilon-processed-gene-2.84-mRNA-1"	"P08H-3"	132	"Transcription initiation factor TFIID subunit 2"	"IPR037813"	"interpro"	"IPR037813"
"134492at33208"	"augustus-ctg478_pilon-processed-gene-1.0-mRNA-1"	"R07B-5"	181	"Peptidase M1, membrane alanine aminopeptidase"	"IPR014782"	"interpro"	"IPR014782"
"134492at33208"	"augustus-ctg478_pilon-processed-gene-1.0-mRNA-1"	"R07B-5"	132	"Transcription initiation factor TFIID subunit 2"	"IPR037813"	"interpro"	"IPR037813"
"135294at33208"	"augustus-ctg376_pilon-processed-gene-4.7-mRNA-1"	"P08H-3"	457	"Rab-GTPase-TBC domain"	"IPR000195"	"interpro"	"IPR000195"
"135294at33208"	"augustus-ctg376_pilon-processed-gene-4.7-mRNA-1"	"P08H-3"	378	"Rhodanese-like domain"	"IPR001763"	"interpro"	"IPR001763"
"135294at33208"	"augustus-ctg376_pilon-processed-gene-4.7-mRNA-1"	"P08H-3"	326	"Serine-threonine/tyrosine-protein kinase, catalytic domain"	"IPR001245"	"interpro"	"IPR001245"
"135294at33208"	"augustus-ctg376_pilon-processed-gene-4.7-mRNA-1"	"P08H-3"	445	"Protein kinase domain"	"IPR000719"	"interpro"	"IPR000719"
"135294at33208"	"PE_Scaf5980_0.3"	"Pec"	457	"Rab-GTPase-TBC domain"	"IPR000195"	"interpro"	"IPR000195"
"135294at33208"	"PE_Scaf5980_0.3"	"Pec"	378	"Rhodanese-like domain"	"IPR001763"	"interpro"	"IPR001763"
"135294at33208"	"PE_Scaf5980_0.3"	"Pec"	326	"Serine-threonine/tyrosine-protein kinase, catalytic domain"	"IPR001245"	"interpro"	"IPR001245"
"135294at33208"	"PE_Scaf5980_0.3"	"Pec"	445	"Protein kinase domain"	"IPR000719"	"interpro"	"IPR000719"
"135294at33208"	"augustus-ctg365_pilon-processed-gene-1.29-mRNA-1"	"R07B-5"	457	"Rab-GTPase-TBC domain"	"IPR000195"	"interpro"	"IPR000195"
"135294at33208"	"augustus-ctg365_pilon-processed-gene-1.29-mRNA-1"	"R07B-5"	378	"Rhodanese-like domain"	"IPR001763"	"interpro"	"IPR001763"
"135294at33208"	"augustus-ctg365_pilon-processed-gene-1.29-mRNA-1"	"R07B-5"	326	"Serine-threonine/tyrosine-protein kinase, catalytic domain"	"IPR001245"	"interpro"	"IPR001245"
"135294at33208"	"augustus-ctg365_pilon-processed-gene-1.29-mRNA-1"	"R07B-5"	445	"Protein kinase domain"	"IPR000719"	"interpro"	"IPR000719"
"137383at33208"	"augustus_masked-ctg217_pilon-processed-gene-3.43-mRNA-1"	"P08H-3"	469	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"137383at33208"	"maker-ctg231_pilon-protein2genome-gene-3.22-mRNA-1"	"R07B-5"	469	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"137383at33208"	"PE_Scaf9619_2.8"	"Pec"	469	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"13816at33208"	"PE_Scaf2025_0.6"	"Pec"	376	"E3 ubiquitin ligase EDD, ubiquitin-associated domain"	"IPR024725"	"interpro"	"IPR024725"
"13816at33208"	"PE_Scaf2025_0.6"	"Pec"	432	"Polyadenylate-binding protein/Hyperplastic disc protein"	"IPR002004"	"interpro"	"IPR002004"
"13816at33208"	"PE_Scaf2025_0.6"	"Pec"	445	"HECT domain"	"IPR000569"	"interpro"	"IPR000569"
"139188at33208"	"maker-ctg96_pilon-protein2genome-gene-8.5-mRNA-1"	"R07B-5"	467	"Conserved oligomeric Golgi complex, subunit 4"	"IPR013167"	"interpro"	"IPR013167"
"139188at33208"	"PE_Scaf743_0.6"	"Pec"	467	"Conserved oligomeric Golgi complex, subunit 4"	"IPR013167"	"interpro"	"IPR013167"
"139188at33208"	"augustus-ctg468_pilon-processed-gene-2.39-mRNA-1"	"P08H-3"	467	"Conserved oligomeric Golgi complex, subunit 4"	"IPR013167"	"interpro"	"IPR013167"
