#Accession	No_orfs	Coverage	Abundance	Name	Description
TIGR00081	1	0.81362	0.000299	TIGR00081	purC: phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00083	1	0.427586	0.000157	TIGR00083	ribF: riboflavin biosynthesis protein RibF
TIGR00088	8	1.133047	0.000417	TIGR00088	trmD: tRNA (guanine(37)-N(1))-methyltransferase
TIGR00089	1	0.958041	0.000352	TIGR00089	TIGR00089: radical SAM methylthiotransferase, MiaB/RimO family
TIGR00090	1	0.979797	0.00036	TIGR00090	rsfS_iojap_ybeB: ribosome silencing factor
TIGR00091	3	1.814432	0.000668	TIGR00091	TIGR00091: tRNA (guanine-N(7)-)-methyltransferase
TIGR00092	3	1.081521	0.000398	TIGR00092	TIGR00092: GTP-binding protein YchF
TIGR00094	2	0.978208	0.00036	TIGR00094	tRNA_TruD_broad: tRNA pseudouridine synthase, TruD family
TIGR00099	2	0.09375	3.4e-05	TIGR00099	Cof-subfamily: Cof-like hydrolase
TIGR00101	1	0.969849	0.000357	TIGR00101	ureG: urease accessory protein UreG
TIGR00106	14	6.412371	0.00236	TIGR00106	TIGR00106: uncharacterized protein, MTH1187 family
TIGR00109	1	0.990683	0.000364	TIGR00109	hemH: ferrochelatase
TIGR00111	1	0.994301	0.000366	TIGR00111	pelota: mRNA surveillance protein pelota
TIGR00112	2	1.429657	0.000526	TIGR00112	proC: pyrroline-5-carboxylate reductase
TIGR00115	4	0.690243	0.000254	TIGR00115	tig: trigger factor
TIGR00116	1	0.941979	0.000346	TIGR00116	tsf: translation elongation factor Ts
TIGR00118	1	0.856373	0.000315	TIGR00118	acolac_lg: acetolactate synthase, large subunit, biosynthetic type
TIGR00121	1	0.838297	0.000308	TIGR00121	birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase
TIGR00125	11	5	0.00184	TIGR00125	cyt_tran_rel: cytidyltransferase-like domain
TIGR00126	1	0.824644	0.000303	TIGR00126	deoC: deoxyribose-phosphate aldolase
TIGR00127	2	1.924205	0.000708	TIGR00127	nadp_idh_euk: isocitrate dehydrogenase, NADP-dependent
TIGR00128	3	0.937931	0.000345	TIGR00128	fabD: malonyl CoA-acyl carrier protein transacylase
TIGR00131	3	1.909793	0.000703	TIGR00131	gal_kin: galactokinase
TIGR00132	2	0.984978	0.000362	TIGR00132	gatA: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
TIGR00133	3	1.382536	0.000509	TIGR00133	gatB: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
TIGR00135	1	0.870967	0.00032	TIGR00135	gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
TIGR00136	1	0.451298	0.000166	TIGR00136	gidA: tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR00143	2	0.22672	8.3e-05	TIGR00143	hypF: carbamoyltransferase HypF
TIGR00147	11	2.891891	0.001064	TIGR00147	TIGR00147: lipid kinase, YegS/Rv2252/BmrU family
TIGR00152	3	2.978723	0.001096	TIGR00152	TIGR00152: dephospho-CoA kinase
TIGR00158	1	0.912162	0.000335	TIGR00158	L9: ribosomal protein L9
TIGR00163	2	1.975308	0.000727	TIGR00163	PS_decarb: phosphatidylserine decarboxylase
TIGR00165	3	2.728571	0.001004	TIGR00165	S18: ribosomal protein S18
TIGR00168	1	0.90909	0.000334	TIGR00168	infC: translation initiation factor IF-3
TIGR00174	2	0.826388	0.000304	TIGR00174	miaA: tRNA dimethylallyltransferase
TIGR00175	3	2.389221	0.000879	TIGR00175	mito_nad_idh: isocitrate dehydrogenase, NAD-dependent
TIGR00177	4	2.905405	0.001069	TIGR00177	molyb_syn: molybdenum cofactor synthesis domain
TIGR00181	2	0.336717	0.000123	TIGR00181	pepF: oligoendopeptidase F
TIGR00184	1	0.724705	0.000266	TIGR00184	purA: adenylosuccinate synthase
TIGR00186	4	1.7125	0.00063	TIGR00186	rRNA_methyl_3: RNA methyltransferase, TrmH family, group 3
TIGR00192	1	0.970873	0.000357	TIGR00192	urease_beta: urease, beta subunit
TIGR00193	2	0.90196	0.000332	TIGR00193	urease_gam: urease, gamma subunit
TIGR00196	1	0.700361	0.000257	TIGR00196	yjeF_cterm: YjeF family C-terminal domain
TIGR00197	7	1.7233	0.000634	TIGR00197	yjeF_nterm: YjeF family N-terminal domain
TIGR00204	3	0.558441	0.000205	TIGR00204	dxs: 1-deoxy-D-xylulose-5-phosphate synthase
TIGR00208	30	7.725806	0.002844	TIGR00208	fliS: flagellar protein FliS
TIGR00209	1	0.994269	0.000366	TIGR00209	galT_1: galactose-1-phosphate uridylyltransferase
TIGR00212	3	0.689419	0.000253	TIGR00212	hemC: hydroxymethylbilane synthase
TIGR00214	2	1.770053	0.000651	TIGR00214	lipB: lipoyl(octanoyl) transferase
TIGR00218	1	0.896935	0.00033	TIGR00218	manA: mannose-6-phosphate isomerase, class I
TIGR00221	2	1.665789	0.000613	TIGR00221	nagA: N-acetylglucosamine-6-phosphate deacetylase
TIGR00225	36	7.552238	0.00278	TIGR00225	prc: C-terminal processing peptidase
TIGR00229	22	10.603174	0.003903	TIGR00229	sensory_box: PAS domain S-box protein
TIGR00231	126	88.719512	0.032664	TIGR00231	small_GTP: small GTP-binding protein domain
TIGR00232	2	0.883792	0.000325	TIGR00232	tktlase_bact: transketolase
TIGR00233	2	1.932926	0.000711	TIGR00233	trpS: tryptophan--tRNA ligase
TIGR00234	2	1.603448	0.00059	TIGR00234	tyrS: tyrosine--tRNA ligase
TIGR00235	2	1.937198	0.000713	TIGR00235	udk: uridine kinase
TIGR00239	3	2.693877	0.000991	TIGR00239	2oxo_dh_E1: oxoglutarate dehydrogenase (succinyl-transferring), E1 component
TIGR00249	3	0.64935	0.000239	TIGR00249	sixA: phosphohistidine phosphatase SixA
TIGR00251	1	0.873563	0.000321	TIGR00251	TIGR00251: TIGR00251 family protein
TIGR00256	1	0.99315	0.000365	TIGR00256	TIGR00256: D-tyrosyl-tRNA(Tyr) deacylase
TIGR00257	1	0.44878	0.000165	TIGR00257	IMPACT_YIGZ: uncharacterized protein, YigZ family
TIGR00258	1	0.535714	0.000197	TIGR00258	TIGR00258: inosine/xanthosine triphosphatase
TIGR00259	1	0.945525	0.000348	TIGR00259	thylakoid_BtpA: membrane complex biogenesis protein, BtpA family
TIGR00260	1	0.929411	0.000342	TIGR00260	thrC: threonine synthase
TIGR00261	1	0.673684	0.000248	TIGR00261	traB: TraB family protein
TIGR00264	2	0.991379	0.000365	TIGR00264	TIGR00264: alpha-NAC homolog
TIGR00270	1	0.454545	0.000167	TIGR00270	TIGR00270: TIGR00270 family protein
TIGR00272	1	0.593561	0.000218	TIGR00272	DPH2: diphthamide biosynthesis protein 2
TIGR00274	1	0.271477	9.9e-05	TIGR00274	TIGR00274: N-acetylmuramic acid 6-phosphate etherase
TIGR00279	1	0.994186	0.000366	TIGR00279	L10e: ribosomal protein L10.e
TIGR00290	1	0.587443	0.000216	TIGR00290	MJ0570_dom: MJ0570-related uncharacterized domain
TIGR00291	1	0.978354	0.00036	TIGR00291	RNA_SBDS: rRNA metabolism protein, SBDS family
TIGR00293	3	2.589147	0.000953	TIGR00293	TIGR00293: prefoldin, alpha subunit
TIGR00296	1	0.59	0.000217	TIGR00296	TIGR00296: uncharacterized protein, PH0010 family
TIGR00297	1	0.696202	0.000256	TIGR00297	TIGR00297: TIGR00297 family protein
TIGR00307	5	2.921259	0.001075	TIGR00307	S8e: ribosomal protein S8.e
TIGR00308	1	0.992	0.000365	TIGR00308	TRM1: N2,N2-dimethylguanosine tRNA methyltransferase
TIGR00309	1	0.980861	0.000361	TIGR00309	V_ATPase_subD: V-type ATPase, D subunit
TIGR00310	2	1.369791	0.000504	TIGR00310	ZPR1_znf: ZPR1 zinc finger domain
TIGR00311	1	0.977443	0.000359	TIGR00311	aIF-2beta: putative translation initiation factor aIF-2, beta subunit
TIGR00318	2	1.936781	0.000713	TIGR00318	cyaB: putative adenylyl cyclase CyaB
TIGR00321	1	0.993355	0.000365	TIGR00321	dhys: deoxyhypusine synthase
TIGR00322	2	1.871875	0.000689	TIGR00322	diphth2_R: diphthamide biosynthesis enzyme Dph1/Dph2 domain
TIGR00323	1	1	0.000368	TIGR00323	eIF-6: putative translation initiation factor eIF-6
TIGR00324	2	0.98305	0.000361	TIGR00324	endA: tRNA-intron endonuclease
TIGR00326	1	0.268221	9.8e-05	TIGR00326	eubact_ribD: riboflavin biosynthesis protein RibD
TIGR00327	1	0.983606	0.000362	TIGR00327	secE_euk_arch: protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic
TIGR00335	1	0.901234	0.000331	TIGR00335	primase_sml: putative DNA primase, eukaryotic-type, small subunit
TIGR00336	2	1.959537	0.000721	TIGR00336	pyrE: orotate phosphoribosyltransferase
TIGR00337	2	1.313688	0.000483	TIGR00337	PyrG: CTP synthase
TIGR00338	1	0.931506	0.000342	TIGR00338	serB: phosphoserine phosphatase SerB
TIGR00339	1	0.992167	0.000365	TIGR00339	sopT: sulfate adenylyltransferase
TIGR00341	2	0.596923	0.000219	TIGR00341	TIGR00341: TIGR00341 family protein
TIGR00343	1	0.986062	0.000363	TIGR00343	TIGR00343: pyridoxal 5'-phosphate synthase, synthase subunit Pdx1
TIGR00344	1	0.933884	0.000343	TIGR00344	alaS: alanine--tRNA ligase
TIGR00345	2	1.675585	0.000616	TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
TIGR00355	2	0.780821	0.000287	TIGR00355	purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00357	1	0.910447	0.000335	TIGR00357	TIGR00357: methionine-R-sulfoxide reductase
TIGR00365	9	4.515151	0.001662	TIGR00365	TIGR00365: monothiol glutaredoxin, Grx4 family
TIGR00367	1	1	0.000368	TIGR00367	TIGR00367: K+-dependent Na+/Ca+ exchanger homolog
TIGR00368	6	0.775551	0.000285	TIGR00368	TIGR00368: Mg chelatase-like protein
TIGR00369	1	0.794871	0.000292	TIGR00369	unchar_dom_1: uncharacterized domain 1
TIGR00374	9	0.789473	0.00029	TIGR00374	TIGR00374: TIGR00374 family protein
TIGR00376	65	16.13615	0.00594	TIGR00376	TIGR00376: putative DNA helicase
TIGR00378	2	0.908309	0.000334	TIGR00378	cax: calcium/proton exchanger
TIGR00382	2	0.746376	0.000274	TIGR00382	clpX: ATP-dependent Clp protease, ATP-binding subunit ClpX
TIGR00385	1	0.098265	3.6e-05	TIGR00385	dsbE: periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily
TIGR00387	6	1.922518	0.000707	TIGR00387	glcD: glycolate oxidase, subunit GlcD
TIGR00389	4	1.143362	0.00042	TIGR00389	glyS_dimeric: glycine--tRNA ligase
TIGR00390	2	0.213151	7.8e-05	TIGR00390	hslU: ATP-dependent protease HslVU, ATPase subunit
TIGR00392	7	1.566782	0.000576	TIGR00392	ileS: isoleucine--tRNA ligase
TIGR00395	2	1.066098	0.000392	TIGR00395	leuS_arch: leucine--tRNA ligase
TIGR00396	1	0.977461	0.000359	TIGR00396	leuS_bact: leucine--tRNA ligase
TIGR00398	6	1.809433	0.000666	TIGR00398	metG: methionine--tRNA ligase
TIGR00399	3	1.748201	0.000643	TIGR00399	metG_C_term: methionine--tRNA ligase, beta subunit
TIGR00401	3	1.947712	0.000717	TIGR00401	msrA: peptide-methionine (S)-S-oxide reductase
TIGR00406	5	1.013888	0.000373	TIGR00406	prmA: ribosomal protein L11 methyltransferase
TIGR00408	2	0.957894	0.000352	TIGR00408	proS_fam_I: proline--tRNA ligase
TIGR00409	2	0.68838	0.000253	TIGR00409	proS_fam_II: proline--tRNA ligase
TIGR00414	19	4.095693	0.001507	TIGR00414	serS: serine--tRNA ligase
TIGR00417	4	2.06273	0.000759	TIGR00417	speE: spermidine synthase
TIGR00418	3	1.546902	0.000569	TIGR00418	thrS: threonine--tRNA ligase
TIGR00419	1	1	0.000368	TIGR00419	tim: triose-phosphate isomerase
TIGR00420	2	0.99715	0.000367	TIGR00420	trmU: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TIGR00422	4	2.110081	0.000776	TIGR00422	valS: valine--tRNA ligase
TIGR00424	1	0.137931	5e-05	TIGR00424	APS_reduc: 5'-adenylylsulfate reductase, thioredoxin-independent
TIGR00425	1	1	0.000368	TIGR00425	CBF5: putative rRNA pseudouridine synthase
TIGR00426	1	0.884057	0.000325	TIGR00426	TIGR00426: competence protein ComEA helix-hairpin-helix repeat region
TIGR00430	1	0.964673	0.000355	TIGR00430	Q_tRNA_tgt: tRNA-guanine transglycosylase
TIGR00431	3	1.885714	0.000694	TIGR00431	TruB: tRNA pseudouridine(55) synthase
TIGR00433	9	0.743243	0.000273	TIGR00433	bioB: biotin synthase
TIGR00434	1	0.35514	0.00013	TIGR00434	cysH: phosophoadenylyl-sulfate reductase
TIGR00435	2	0.918454	0.000338	TIGR00435	cysS: cysteine--tRNA ligase
TIGR00436	4	0.955555	0.000351	TIGR00436	era: GTP-binding protein Era
TIGR00437	2	0.129629	4.7e-05	TIGR00437	feoB: ferrous iron transport protein B
TIGR00438	6	3.984042	0.001466	TIGR00438	rrmJ: ribosomal RNA large subunit methyltransferase J
TIGR00440	2	0.656488	0.000241	TIGR00440	glnS: glutamine--tRNA ligase
TIGR00442	3	2.029556	0.000747	TIGR00442	hisS: histidine--tRNA ligase
TIGR00445	1	0.585669	0.000215	TIGR00445	mraY: phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR00446	6	3.78409	0.001393	TIGR00446	nop2p: NOL1/NOP2/sun family putative RNA methylase
TIGR00448	2	1.72067	0.000633	TIGR00448	rpoE: DNA-directed RNA polymerase
TIGR00449	1	0.411444	0.000151	TIGR00449	tgt_general: tRNA-guanine family transglycosylase
TIGR00450	1	0.338565	0.000124	TIGR00450	mnmE_trmE_thdF: tRNA modification GTPase TrmE
TIGR00452	1	0.446202	0.000164	TIGR00452	TIGR00452: tRNA (mo5U34)-methyltransferase
TIGR00453	1	0.990867	0.000364	TIGR00453	ispD: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
TIGR00455	1	0.375	0.000138	TIGR00455	apsK: adenylyl-sulfate kinase
TIGR00456	3	1.674868	0.000616	TIGR00456	argS: arginine--tRNA ligase
TIGR00457	2	1.485714	0.000547	TIGR00457	asnS: asparagine--tRNA ligase
TIGR00458	1	0.974299	0.000358	TIGR00458	aspS_nondisc: aspartate--tRNA(Asn) ligase
TIGR00459	1	0.267918	9.8e-05	TIGR00459	aspS_bact: aspartate--tRNA ligase
TIGR00460	2	1.742857	0.000641	TIGR00460	fmt: methionyl-tRNA formyltransferase
TIGR00461	1	0.793397	0.000292	TIGR00461	gcvP: glycine dehydrogenase
TIGR00462	1	0.082236	3e-05	TIGR00462	genX: EF-P lysine aminoacylase GenX
TIGR00463	2	1.021428	0.000376	TIGR00463	gltX_arch: glutamate--tRNA ligase
TIGR00464	2	1.629787	0.0006	TIGR00464	gltX_bact: glutamate--tRNA ligase
TIGR00469	4	1.414634	0.00052	TIGR00469	pheS_mito: phenylalanine--tRNA ligase
TIGR00471	2	1.212341	0.000446	TIGR00471	pheT_arch: phenylalanine--tRNA ligase, beta subunit
TIGR00473	1	0.137254	5e-05	TIGR00473	pssA: CDP-diacylglycerol-serine O-phosphatidyltransferase
TIGR00475	6	1.831325	0.000674	TIGR00475	selB: selenocysteine-specific translation elongation factor
TIGR00476	2	1.724137	0.000634	TIGR00476	selD: selenide, water dikinase
TIGR00478	1	0.149122	5.4e-05	TIGR00478	tly: TlyA family rRNA methyltransferase/putative hemolysin
TIGR00479	2	0.900462	0.000331	TIGR00479	rumA: 23S rRNA (uracil-5-)-methyltransferase RumA
TIGR00482	1	0.237113	8.7e-05	TIGR00482	TIGR00482: nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00483	5	2.782201	0.001024	TIGR00483	EF-1_alpha: translation elongation factor EF-1, subunit alpha
TIGR00484	3	1.95369	0.000719	TIGR00484	EF-G: translation elongation factor G
TIGR00485	2	1.969543	0.000725	TIGR00485	EF-Tu: translation elongation factor Tu
TIGR00486	1	0.984	0.000362	TIGR00486	YbgI_SA1388: dinuclear metal center protein, YbgI/SA1388 family
TIGR00487	1	0.093696	3.4e-05	TIGR00487	IF-2: translation initiation factor IF-2
TIGR00490	11	2.627777	0.000967	TIGR00490	aEF-2: translation elongation factor aEF-2
TIGR00491	1	0.537037	0.000197	TIGR00491	aIF-2: translation initiation factor aIF-2
TIGR00492	3	1.444444	0.000531	TIGR00492	alr: alanine racemase
TIGR00493	2	0.46875	0.000172	TIGR00493	clpP: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
TIGR00495	3	1.078328	0.000397	TIGR00495	crvDNA_42K: DNA-binding protein, 42 kDa
TIGR00496	1	0.982954	0.000361	TIGR00496	frr: ribosome recycling factor
TIGR00499	2	1.6875	0.000621	TIGR00499	lysS_bact: lysine--tRNA ligase
TIGR00500	2	1.983805	0.00073	TIGR00500	met_pdase_I: methionine aminopeptidase, type I
TIGR00501	1	0.976271	0.000359	TIGR00501	met_pdase_II: methionine aminopeptidase, type II
TIGR00502	2	1.984555	0.00073	TIGR00502	nagB: glucosamine-6-phosphate deaminase
TIGR00504	1	0.384976	0.000141	TIGR00504	pyro_pdase: pyroglutamyl-peptidase I
TIGR00510	1	0.980132	0.00036	TIGR00510	lipA: lipoyl synthase
TIGR00511	4	2.189368	0.000806	TIGR00511	ribulose_e2b2: ribose-1,5-bisphosphate isomerase, e2b2 family
TIGR00512	1	0.997014	0.000367	TIGR00512	salvage_mtnA: S-methyl-5-thioribose-1-phosphate isomerase
TIGR00514	2	1.924276	0.000708	TIGR00514	accC: acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR00517	2	1.896103	0.000698	TIGR00517	acyl_carrier: acyl carrier protein
TIGR00518	1	0.116216	4.2e-05	TIGR00518	alaDH: alanine dehydrogenase
TIGR00519	1	0.98813	0.000363	TIGR00519	asnASE_I: L-asparaginase, type I
TIGR00520	6	0.90909	0.000334	TIGR00520	asnASE_II: L-asparaginase, type II
TIGR00521	2	0.767857	0.000282	TIGR00521	coaBC_dfp: phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
TIGR00522	1	0.992248	0.000365	TIGR00522	dph5: diphthine synthase
TIGR00523	3	1.836734	0.000676	TIGR00523	eIF-1A: translation initiation factor eIF-1A
TIGR00527	3	1.100775	0.000405	TIGR00527	gcvH: glycine cleavage system H protein
TIGR00528	3	2.110497	0.000777	TIGR00528	gcvT: glycine cleavage system T protein
TIGR00530	6	5.015384	0.001846	TIGR00530	AGP_acyltrn: 1-acylglycerol-3-phosphate O-acyltransferases
TIGR00535	1	0.353293	0.00013	TIGR00535	SAM_DCase: S-adenosylmethionine decarboxylase proenzyme
TIGR00540	4	0.477922	0.000175	TIGR00540	TPR_hemY_coli: heme biosynthesis-associated TPR protein
TIGR00545	1	0.230061	8.4e-05	TIGR00545	lipoyltrans: lipoyltransferase and lipoate-protein ligase
TIGR00549	2	1.576086	0.00058	TIGR00549	mevalon_kin: mevalonate kinase
TIGR00552	3	0.880478	0.000324	TIGR00552	nadE: NAD+ synthetase
TIGR00555	9	4.763157	0.001753	TIGR00555	panK_eukar: pantothenate kinase
TIGR00556	1	0.507812	0.000186	TIGR00556	pantethn_trn: phosphopantetheine--protein transferase domain
TIGR00558	2	1.741935	0.000641	TIGR00558	pdxH: pyridoxamine 5'-phosphate oxidase
TIGR00560	2	1.46448	0.000539	TIGR00560	pgsA: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
TIGR00561	1	0.996086	0.000366	TIGR00561	pntA: NAD(P)(+) transhydrogenase (AB-specific), alpha subunit
TIGR00562	3	1.221276	0.000449	TIGR00562	proto_IX_ox: protoporphyrinogen oxidase
TIGR00563	4	0.965675	0.000355	TIGR00563	rsmB: 16S rRNA (cytosine(967)-C(5))-methyltransferase
TIGR00567	1	0.984375	0.000362	TIGR00567	3mg: DNA-3-methyladenine glycosylase
TIGR00568	3	2.121387	0.000781	TIGR00568	alkb: alkylated DNA repair protein AlkB
TIGR00569	4	2.452459	0.000902	TIGR00569	ccl1: cyclin ccl1
TIGR00570	2	0.381877	0.00014	TIGR00570	cdk7: CDK-activating kinase assembly factor MAT1
TIGR00574	3	2.994307	0.001102	TIGR00574	dnl1: DNA ligase I, ATP-dependent (dnl1)
TIGR00575	2	0.173312	6.3e-05	TIGR00575	dnlj: DNA ligase, NAD-dependent
TIGR00576	1	0.993006	0.000365	TIGR00576	dut: dUTP diphosphatase
TIGR00578	3	1.33447	0.000491	TIGR00578	ku70: ATP-dependent DNA helicase II, 70 kDa subunit (ku70)
TIGR00580	3	0.390032	0.000143	TIGR00580	mfd: transcription-repair coupling factor
TIGR00581	2	2	0.000736	TIGR00581	moaC: molybdenum cofactor biosynthesis protein C
TIGR00583	1	0.995061	0.000366	TIGR00583	mre11: DNA repair protein (mre11)
TIGR00584	1	0.804878	0.000296	TIGR00584	mug: mismatch-specific thymine-DNA glycosylate (mug)
TIGR00585	4	2.56869	0.000945	TIGR00585	mutl: DNA mismatch repair protein MutL
TIGR00586	3	2.085271	0.000767	TIGR00586	mutt: mutator mutT protein
TIGR00587	1	0.985663	0.000362	TIGR00587	nfo: apurinic endonuclease (APN1)
TIGR00588	1	0.529032	0.000194	TIGR00588	ogg: 8-oxoguanine DNA-glycosylase (ogg)
TIGR00589	1	0.9875	0.000363	TIGR00589	ogt: methylated-DNA--[protein]-cysteine S-methyltransferase
TIGR00590	1	0.996138	0.000366	TIGR00590	pcna: proliferating cell nuclear antigen (pcna)
TIGR00592	11	2.615646	0.000963	TIGR00592	pol2: DNA polymerase (pol2)
TIGR00593	9	1.798876	0.000662	TIGR00593	pola: DNA polymerase I
TIGR00595	1	0.092337	3.3e-05	TIGR00595	priA: primosomal protein N'
TIGR00596	5	1.03936	0.000382	TIGR00596	rad1: DNA repair protein (rad1)
TIGR00597	1	1	0.000368	TIGR00597	rad10: DNA repair protein rad10
TIGR00598	2	1.333333	0.00049	TIGR00598	rad14: DNA repair protein
TIGR00599	57	8.377833	0.003084	TIGR00599	rad18: DNA repair protein rad18
TIGR00600	14	1.562078	0.000575	TIGR00600	rad2: DNA excision repair protein (rad2)
TIGR00601	16	4.19685	0.001545	TIGR00601	rad23: UV excision repair protein Rad23
TIGR00602	7	1.403125	0.000516	TIGR00602	rad24: checkpoint protein rad24
TIGR00603	1	1	0.000368	TIGR00603	rad25: DNA repair helicase rad25
TIGR00604	6	3.263456	0.001201	TIGR00604	rad3: DNA repair helicase (rad3)
TIGR00605	4	0.936007	0.000344	TIGR00605	rad4: DNA repair protein rad4
TIGR00606	2	0.517925	0.00019	TIGR00606	rad50: rad50
TIGR00614	7	2.389361	0.000879	TIGR00614	recQ_fam: ATP-dependent DNA helicase, RecQ family
TIGR00617	6	1.848684	0.00068	TIGR00617	rpa1: replication factor-a protein 1 (rpa1)
TIGR00621	1	0.66265	0.000243	TIGR00621	ssb: single-stranded DNA-binding protein
TIGR00622	75	31.991071	0.011778	TIGR00622	ssl1: transcription factor ssl1
TIGR00625	1	0.930803	0.000342	TIGR00625	tfb2: transcription factor Tfb2
TIGR00627	1	0.919014	0.000338	TIGR00627	tfb4: transcription factor tfb4
TIGR00628	1	0.985714	0.000362	TIGR00628	ung: uracil-DNA glycosylase
TIGR00631	5	0.267477	9.8e-05	TIGR00631	uvrb: excinuclease ABC subunit B
TIGR00633	4	2.415686	0.000889	TIGR00633	xth: exodeoxyribonuclease III (xth)
TIGR00635	10	2.006557	0.000738	TIGR00635	ruvB: Holliday junction DNA helicase RuvB
TIGR00639	2	1.067708	0.000393	TIGR00639	PurN: phosphoribosylglycinamide formyltransferase
TIGR00641	1	0.998106	0.000367	TIGR00641	acid_CoA_mut_N: methylmalonyl-CoA mutase N-terminal domain
TIGR00642	1	0.153225	5.6e-05	TIGR00642	mmCoA_mut_beta: methylmalonyl-CoA mutase, small subunit
TIGR00643	4	0.492845	0.000181	TIGR00643	recG: ATP-dependent DNA helicase RecG
TIGR00653	14	3.694805	0.00136	TIGR00653	GlnA: glutamine synthetase, type I
TIGR00658	1	0.855263	0.000314	TIGR00658	orni_carb_tr: ornithine carbamoyltransferase
TIGR00665	1	0.616091	0.000226	TIGR00665	DnaB: replicative DNA helicase
TIGR00668	1	0.462365	0.00017	TIGR00668	apaH: bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
