#Accession	No_orfs	Coverage	Abundance	Name	Description
PF00171.22	16	11.480519	0.000343	Aldedh	Aldehyde dehydrogenase family
PF00173.28	15	11.716216	0.000351	Cyt-b5	Cytochrome b5-like Heme/Steroid binding domain
PF00174.19	3	2.552325	7.6e-05	Oxidored_molyb	Oxidoreductase molybdopterin binding domain
PF00175.21	10	7.633027	0.000228	NAD_binding_1	Oxidoreductase NAD-binding domain
PF00176.23	29	14.577142	0.000436	SNF2_N	SNF2 family N-terminal domain
PF00177.21	2	1.805369	5.4e-05	Ribosomal_S7	Ribosomal protein S7p/S5e
PF00178.22	14	13.074074	0.000391	Ets	Ets-domain
PF00179.26	41	29.628571	0.000887	UQ_con	Ubiquitin-conjugating enzyme
PF00180.20	5	4.341954	0.00013	Iso_dh	Isocitrate/isopropylmalate dehydrogenase
PF00181.23	4	2.350649	7e-05	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain
PF00183.18	7	3.864603	0.000115	HSP90	Hsp90 protein
PF00184.17	1	0.873417	2.6e-05	Hormone_5	Neurohypophysial hormones, C-terminal Domain
PF00185.24	3	2.178343	6.5e-05	OTCace	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186.19	3	1.378881	4.1e-05	DHFR_1	Dihydrofolate reductase
PF00188.26	26	21.301587	0.000638	CAP	Cysteine-rich secretory protein family
PF00189.20	2	1.192771	3.5e-05	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain
PF00191.20	36	32.757575	0.000981	Annexin	Annexin
PF00194.21	10	8.476377	0.000253	Carb_anhydrase	Eukaryotic-type carbonic anhydrase
PF00198.23	4	3.935622	0.000117	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00200.23	4	3.697368	0.00011	Disintegrin	Disintegrin
PF00201.18	8	6.543086	0.000196	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202.21	6	4.630541	0.000138	Aminotran_3	Aminotransferase class-III
PF00203.21	1	1	2.9e-05	Ribosomal_S19	Ribosomal protein S19
PF00204.25	1	0.977011	2.9e-05	DNA_gyraseB	DNA gyrase B
PF00205.22	1	0.985401	2.9e-05	TPP_enzyme_M	Thiamine pyrophosphate enzyme, central domain
PF00206.20	3	2.153846	6.4e-05	Lyase_1	Lyase
PF00207.22	14	10.565217	0.000316	A2M	Alpha-2-macroglobulin family
PF00208.21	3	1.695473	5e-05	ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209.18	44	25.118546	0.000752	SNF	Sodium:neurotransmitter symporter family
PF00210.24	3	2.415492	7.2e-05	Ferritin	Ferritin-like domain
PF00211.20	32	18.125683	0.000543	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain
PF00215.24	2	0.862222	2.5e-05	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00217.19	8	6.646226	0.000199	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00219.18	6	3.490909	0.000104	IGFBP	Insulin-like growth factor binding protein
PF00221.19	2	1.295258	3.8e-05	Lyase_aromatic	Aromatic amino acid lyase
PF00224.21	2	1.183908	3.5e-05	PK	Pyruvate kinase, barrel domain
PF00225.23	61	29.486486	0.000883	Kinesin	Kinesin motor domain
PF00226.31	43	33.968253	0.001017	DnaJ	DnaJ domain
PF00227.26	15	13.478947	0.000403	Proteasome	Proteasome subunit
PF00229.18	4	3.748031	0.000112	TNF	TNF(Tumour Necrosis Factor) family
PF00230.20	16	10.942731	0.000327	MIP	Major intrinsic protein
PF00231.19	1	1	2.9e-05	ATP-synt	ATP synthase
PF00233.19	13	7.054621	0.000211	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase
PF00235.19	6	5.559055	0.000166	Profilin	Profilin
PF00237.19	3	2.126213	6.3e-05	Ribosomal_L22	Ribosomal protein L22p/L17e
PF00238.19	3	2.442622	7.3e-05	Ribosomal_L14	Ribosomal protein L14p/L23e
PF00240.23	21	16.944444	0.000507	ubiquitin	Ubiquitin family
PF00241.20	11	10.041322	0.0003	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein
PF00243.18	1	0.571428	1.7e-05	NGF	Nerve growth factor family
PF00244.20	3	2.148648	6.4e-05	14-3-3	14-3-3 protein
PF00245.20	3	2.96875	8.8e-05	Alk_phosphatase	Alkaline phosphatase
PF00246.24	18	12.622837	0.000378	Peptidase_M14	Zinc carboxypeptidase
PF00248.21	9	6.112244	0.000183	Aldo_ket_red	Aldo/keto reductase family
PF00249.31	37	27.456521	0.000822	Myb_DNA-binding	Myb-like DNA-binding domain
PF00250.18	37	32.609195	0.000977	Forkhead	Forkhead domain
PF00252.18	2	1.924242	5.7e-05	Ribosomal_L16	Ribosomal protein L16p/L10e
PF00253.21	2	1.925925	5.7e-05	Ribosomal_S14	Ribosomal protein S14p/S29e
PF00254.28	15	11.978723	0.000358	FKBP_C	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255.19	2	1.574074	4.7e-05	GSHPx	Glutathione peroxidase
PF00258.25	6	5.811188	0.000174	Flavodoxin_1	Flavodoxin
PF00261.20	2	1.227848	3.6e-05	Tropomyosin	Tropomyosin
PF00262.18	4	2.021798	6e-05	Calreticulin	Calreticulin family
PF00264.20	5	2.941441	8.8e-05	Tyrosinase	Common central domain of tyrosinase
PF00265.18	1	0.548022	1.6e-05	TK	Thymidine kinase
PF00266.19	12	7.053908	0.000211	Aminotran_5	Aminotransferase class-V
PF00268.21	1	1	2.9e-05	Ribonuc_red_sm	Ribonucleotide reductase, small chain
PF00270.29	69	47.670454	0.001428	DEAD	DEAD/DEAH box helicase
PF00271.31	77	59.711711	0.001789	Helicase_C	Helicase conserved C-terminal domain
PF00274.19	1	0.928366	2.7e-05	Glycolytic	Fructose-bisphosphate aldolase class-I
PF00276.20	3	1.627906	4.8e-05	Ribosomal_L23	Ribosomal protein L23
PF00277.18	1	0.764705	2.2e-05	SAA	Serum amyloid A protein
PF00278.22	1	0.959183	2.8e-05	Orn_DAP_Arg_deC	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280.18	1	0.953125	2.8e-05	potato_inhibit	Potato inhibitor I family
PF00281.19	2	1.403508	4.2e-05	Ribosomal_L5	Ribosomal protein L5
PF00282.19	18	11.765333	0.000352	Pyridoxal_deC	Pyridoxal-dependent decarboxylase conserved domain
PF00285.21	3	1.659279	4.9e-05	Citrate_synt	Citrate synthase, C-terminal domain
PF00287.18	2	1.862676	5.5e-05	Na_K-ATPase	Sodium / potassium ATPase beta chain
PF00288.26	5	4.848484	0.000145	GHMP_kinases_N	GHMP kinases N terminal domain
PF00289.22	3	2.754545	8.2e-05	Biotin_carb_N	Biotin carboxylase, N-terminal domain
PF00291.25	7	5.585034	0.000167	PALP	Pyridoxal-phosphate dependent enzyme
PF00292.18	7	6.256	0.000187	PAX	'Paired box' domain
PF00293.28	11	9.030534	0.00027	NUDIX	NUDIX domain
PF00294.24	6	3.900662	0.000116	PfkB	pfkB family carbohydrate kinase
PF00297.22	3	1.195121	3.5e-05	Ribosomal_L3	Ribosomal protein L3
PF00298.19	2	1.971428	5.9e-05	Ribosomal_L11	Ribosomal protein L11, RNA binding domain
PF00300.22	10	4.350515	0.00013	His_Phos_1	Histidine phosphatase superfamily (branch 1)
PF00303.19	1	0.996268	2.9e-05	Thymidylat_synt	Thymidylate synthase
PF00305.19	1	0.703264	2.1e-05	Lipoxygenase	Lipoxygenase
PF00307.31	27	21.669724	0.000649	CH	Calponin homology (CH) domain
PF00310.21	1	0.419047	1.2e-05	GATase_2	Glutamine amidotransferases class-II
PF00312.22	2	1.790123	5.3e-05	Ribosomal_S15	Ribosomal protein S15
PF00313.22	12	9.439393	0.000282	CSD	'Cold-shock' DNA-binding domain
PF00316.20	2	1.460317	4.3e-05	FBPase	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317.21	1	0.975903	2.9e-05	Ribonuc_red_lgN	Ribonucleotide reductase, all-alpha domain
PF00318.20	6	2.330232	6.9e-05	Ribosomal_S2	Ribosomal protein S2
PF00319.18	1	1	2.9e-05	SRF-TF	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320.27	16	13.666666	0.000409	GATA	GATA zinc finger
PF00324.21	10	3.895615	0.000116	AA_permease	Amino acid permease
PF00325.20	11	3.1875	9.5e-05	Crp	Bacterial regulatory proteins, crp family
PF00326.21	10	6.216981	0.000186	Peptidase_S9	Prolyl oligopeptidase family
PF00327.20	4	2.313725	6.9e-05	Ribosomal_L30	Ribosomal protein L30p/L7e
PF00328.22	9	5.201044	0.000155	His_Phos_2	Histidine phosphatase superfamily (branch 2)
PF00329.19	1	0.983606	2.9e-05	Complex1_30kDa	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330.20	3	2.032537	6e-05	Aconitase	Aconitase family (aconitate hydratase)
PF00333.20	2	2	5.9e-05	Ribosomal_S5	Ribosomal protein S5, N-terminal domain
PF00334.19	13	10.614814	0.000318	NDK	Nucleoside diphosphate kinase
PF00335.20	27	18.851528	0.000564	Tetraspanin	Tetraspanin family
PF00337.22	4	2.664179	7.9e-05	Gal-bind_lectin	Galactoside-binding lectin
PF00338.22	2	1.806122	5.4e-05	Ribosomal_S10	Ribosomal protein S10p/S20e
PF00339.29	6	3.308219	9.9e-05	Arrestin_N	Arrestin (or S-antigen), N-terminal domain
PF00341.17	2	1.365853	4e-05	PDGF	PDGF/VEGF domain
PF00342.19	1	1	2.9e-05	PGI	Phosphoglucose isomerase
PF00343.20	1	1	2.9e-05	Phosphorylase	Carbohydrate phosphorylase
PF00344.20	1	0.996732	2.9e-05	SecY	SecY translocase
PF00346.19	2	1.675276	5e-05	Complex1_49kDa	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347.23	2	2	5.9e-05	Ribosomal_L6	Ribosomal protein L6
PF00348.17	4	3.777343	0.000113	polyprenyl_synt	Polyprenyl synthetase
PF00349.21	1	0.994974	2.9e-05	Hexokinase_1	Hexokinase
PF00350.23	30	18.488095	0.000553	Dynamin_N	Dynamin family
PF00351.21	3	2.993957	8.9e-05	Biopterin_H	Biopterin-dependent aromatic amino acid hydroxylase
PF00352.21	5	3.4	0.000101	TBP	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00354.17	4	2.417525	7.2e-05	Pentaxin	Pentaxin family
PF00355.26	3	2.640449	7.9e-05	Rieske	Rieske [2Fe-2S] domain
PF00361.20	1	0.682593	2e-05	Proton_antipo_M	Proton-conducting membrane transporter
PF00362.18	1	0.975806	2.9e-05	Integrin_beta	Integrin beta chain VWA domain
PF00364.22	9	8.671232	0.000259	Biotin_lipoyl	Biotin-requiring enzyme
PF00365.20	3	0.869718	2.6e-05	PFK	Phosphofructokinase
PF00366.20	1	1	2.9e-05	Ribosomal_S17	Ribosomal protein S17
PF00368.18	1	0.997275	2.9e-05	HMG-CoA_red	Hydroxymethylglutaryl-coenzyme A reductase
PF00370.21	4	2.681632	8e-05	FGGY_N	FGGY family of carbohydrate kinases, N-terminal domain
PF00373.18	20	16.322033	0.000489	FERM_M	FERM central domain
PF00375.18	5	3.707692	0.000111	SDF	Sodium:dicarboxylate symporter family
PF00376.23	3	1.815789	5.4e-05	MerR	MerR family regulatory protein
PF00378.20	24	12.25498	0.000367	ECH_1	Enoyl-CoA hydratase/isomerase
PF00380.19	2	2	5.9e-05	Ribosomal_S9	Ribosomal protein S9/S16
PF00382.19	3	2.732394	8.1e-05	TFIIB	Transcription factor TFIIB repeat
PF00383.23	6	4.881188	0.000146	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384.22	3	2.289351	6.8e-05	Molybdopterin	Molybdopterin oxidoreductase
PF00385.24	3	2.37037	7.1e-05	Chromo	Chromo (CHRromatin Organisation MOdifier) domain
PF00386.21	1	1	2.9e-05	C1q	C1q domain
PF00387.19	7	5.47826	0.000164	PI-PLC-Y	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388.19	7	5.517241	0.000165	PI-PLC-X	Phosphatidylinositol-specific phospholipase C, X domain
PF00390.19	3	3	8.9e-05	malic	Malic enzyme, N-terminal domain
PF00393.19	1	0.885813	2.6e-05	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394.22	5	2.031446	6e-05	Cu-oxidase	Multicopper oxidase
PF00396.18	20	12.642857	0.000378	Granulin	Granulin
PF00397.26	37	32.548387	0.000975	WW	WW domain
PF00398.20	2	1.762264	5.2e-05	RrnaAD	Ribosomal RNA adenine dimethylase
PF00400.32	1139	860.947368	0.025796	WD40	WD domain, G-beta repeat
PF00402.18	7	5.4	0.000161	Calponin	Calponin family repeat
PF00403.26	9	8.854838	0.000265	HMA	Heavy-metal-associated domain
PF00406.22	24	13.18543	0.000395	ADK	Adenylate kinase
PF00408.20	2	1.445945	4.3e-05	PGM_PMM_IV	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410.19	1	0.984251	2.9e-05	Ribosomal_S8	Ribosomal protein S8
PF00411.19	1	0.681818	2e-05	Ribosomal_S11	Ribosomal protein S11
PF00412.22	57	49.465517	0.001482	LIM	LIM domain
PF00413.24	5	4.126582	0.000123	Peptidase_M10	Matrixin
PF00415.18	90	75.02	0.002247	RCC1	Regulator of chromosome condensation (RCC1) repeat
PF00416.22	1	1	2.9e-05	Ribosomal_S13	Ribosomal protein S13/S18
PF00418.19	7	5.903225	0.000176	Tubulin-binding	Tau and MAP protein, tubulin-binding repeat
PF00420.24	1	0.933333	2.7e-05	Oxidored_q2	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00428.19	7	4.920454	0.000147	Ribosomal_60s	60s Acidic ribosomal protein
PF00431.20	350	271.70909	0.008141	CUB	CUB domain
PF00432.21	18	14.931818	0.000447	Prenyltrans	Prenyltransferase and squalene oxidase repeat
PF00433.24	9	8.804347	0.000263	Pkinase_C	Protein kinase C terminal domain
PF00435.21	150	121.419047	0.003638	Spectrin	Spectrin repeat
PF00436.25	1	0.971153	2.9e-05	SSB	Single-strand binding protein family
PF00438.20	2	1.969696	5.9e-05	S-AdoMet_synt_N	S-adenosylmethionine synthetase, N-terminal domain
PF00439.25	25	20.928571	0.000627	Bromodomain	Bromodomain
PF00441.24	13	8.546666	0.000256	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain
PF00443.29	34	25.836575	0.000774	UCH	Ubiquitin carboxyl-terminal hydrolase
PF00444.18	8	2.5	7.4e-05	Ribosomal_L36	Ribosomal protein L36
PF00445.18	1	0.82967	2.4e-05	Ribonuclease_T2	Ribonuclease T2 family
PF00447.17	3	2.822916	8.4e-05	HSF_DNA-bind	HSF-type DNA-binding
PF00448.22	2	1.984693	5.9e-05	SRP54	SRP54-type protein, GTPase domain
PF00449.20	1	0.991735	2.9e-05	Urease_alpha	Urease alpha-subunit, N-terminal domain
PF00450.22	8	4.059665	0.000121	Peptidase_S10	Serine carboxypeptidase
PF00452.19	13	9.565656	0.000286	Bcl-2	Apoptosis regulator proteins, Bcl-2 family
PF00453.18	1	0.971962	2.9e-05	Ribosomal_L20	Ribosomal protein L20
PF00454.27	12	7.504	0.000224	PI3_PI4_kinase	Phosphatidylinositol 3- and 4-kinase
PF00456.21	1	0.790419	2.3e-05	Transketolase_N	Transketolase, thiamine diphosphate binding domain
PF00458.20	7	6.113207	0.000183	WHEP-TRS	WHEP-TRS domain
PF00459.25	5	3.805147	0.000114	Inositol_P	Inositol monophosphatase family
PF00462.24	14	11.933333	0.000357	Glutaredoxin	Glutaredoxin
PF00464.19	2	1.997493	5.9e-05	SHMT	Serine hydroxymethyltransferase
PF00465.19	4	2.23901	6.7e-05	Fe-ADH	Iron-containing alcohol dehydrogenase
PF00466.20	2	1.91	5.7e-05	Ribosomal_L10	Ribosomal protein L10
PF00467.29	4	2.78125	8.3e-05	KOW	KOW motif
PF00472.20	6	4.017241	0.00012	RF-1	RF-1 domain
PF00474.17	44	21.256157	0.000636	SSF	Sodium:solute symporter family
PF00476.20	6	3.188829	9.5e-05	DNA_pol_A	DNA polymerase family A
PF00478.25	2	1.881159	5.6e-05	IMPDH	IMP dehydrogenase / GMP reductase domain
PF00479.22	2	1.536723	4.6e-05	G6PD_N	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00481.21	18	10.910852	0.000326	PP2C	Protein phosphatase 2C
PF00483.23	6	3.645161	0.000109	NTP_transferase	Nucleotidyl transferase
PF00484.19	1	0.993589	2.9e-05	Pro_CA	Carbonic anhydrase
PF00485.18	2	1.989847	5.9e-05	PRK	Phosphoribulokinase / Uridine kinase family
PF00487.24	9	6.350393	0.00019	FA_desaturase	Fatty acid desaturase
PF00488.21	6	2.946808	8.8e-05	MutS_V	MutS domain V
PF00490.21	3	1.274447	3.8e-05	ALAD	Delta-aminolevulinic acid dehydratase
PF00491.21	8	4.232142	0.000126	Arginase	Arginase family
PF00493.23	9	7.651785	0.000229	MCM	MCM P-loop domain
PF00494.19	1	0.992395	2.9e-05	SQS_PSY	Squalene/phytoene synthase
PF00497.20	9	5.6	0.000167	SBP_bac_3	Bacterial extracellular solute-binding proteins, family 3
PF00498.26	16	14.492753	0.000434	FHA	FHA domain
PF00501.28	38	21.193853	0.000635	AMP-binding	AMP-binding enzyme
PF00503.20	9	5.355932	0.00016	G-alpha	G-protein alpha subunit
PF00505.19	34	24.188405	0.000724	HMG_box	HMG (high mobility group) box
PF00510.18	1	0.321705	9e-06	COX3	Cytochrome c oxidase subunit III
PF00514.23	144	102.609756	0.003074	Arm	Armadillo/beta-catenin-like repeat
PF00515.28	226	169.67647	0.005084	TPR_1	Tetratricopeptide repeat
