LTR	strand	LTR_type	insertion_time_my	CpGs_count	CpGoe	location	meth_meancallcov	meth_meanfreq	callCpGs_count	meth_cov	meth_depth	meth_binary	recent_insertion	feature_size	genome	insertion_time_qbins_my	flank4kb_meth_meanfreq	flank4kb_meth_cov	flank4kb_meth_depth	flank4kb_callCpGs_count	reps_CpG_density	reps_CpGoe
PE_Scaf10076:484248..488492	-	Gypsy	0.770304	304	1.03757	gene	20.50526316	0.9320468877	285	1.0	0.9320468877192981	1	0.0	4255	P. echinospica	(0.7, 1.1]	0.8033608442571875	0.96165809375	0.81117271875	23.78125	0.0631186	0.7422133333333333
PE_Scaf10076:816009..820866	-	Gypsy	0.783645	374	1.23699	.	24.33711048	0.01493679235	353	0.18696883852691218	0.07988920757575757	0	0.0	4868	P. echinospica	(0.7, 1.1]	0.019923176313312498	0.2588083125	0.07845325	45.25	0.0479798	0.8212683333333333
PE_Scaf10076:877984..882674	+	Gypsy	2.137739	301	1.06022	.	26.24913495	0.02957499446	289	0.2837370242214533	0.10423382195121954	0	0.0	4701	P. echinospica	(1.1, 5.0]	0.029162937923125	0.393057375	0.0735379	34.40625	0.05956135	0.821745
PE_Scaf10078:14015..18511	+	Gypsy	0.550776	344	1.1411	gene	12.03669725	0.9548631835	218	1.0	0.9548631834862386	1	0.0	4507	P. echinospica	(0.4, 0.7]	0.8615167614866667	0.9958333333333333	0.8650308333333334	5.466666666666667	0.0392857	0.7535183333333334
PE_Scaf10115:265150..269599	+	Gypsy	0.274074	357	1.17223	.	25.01204819	0.01219123735	332	0.1686746987951807	0.07227662142857143	0	0.5	4460	P. echinospica	(0.2, 0.4]	0.0273428444555	0.2922878125	0.0851429875	51.90625	0.0392857	0.7665733333333334
PE_Scaf10115:286035..290710	+	Gypsy	0.96565	271	0.961039	.	21.01550388	0.3179250674	258	0.7209302325581395	0.44099283548387097	0	0.0	4686	P. echinospica	(0.7, 1.1]	0.4001539749790625	0.74183634375	0.4425347875	22.78125	0.0745342	0.8124515
PE_Scaf10121:66037..71270	+	Gypsy	0.252485	287	0.876421	.	10.19444444	0.01616161111	36	0.1388888888888889	0.11636359999999998	0	0.5	5242	P. echinospica	(0.2, 0.4]	0.0358316701484	0.22902622	0.146233416	20.36	0.0328947	0.582032
PE_Scaf10140:85025..89575	-	Gypsy	0.255843	331	1.12859	.	22.67100977	0.01671845244	307	0.22149837133550487	0.07547889558823528	0	0.5	4561	P. echinospica	(0.2, 0.4]	0.0296419358334375	0.3254933125	0.091510375	41.5625	0.0533333	0.8877483333333333
PE_Scaf10144:20732..23438	-	Gypsy	0.707915	135	0.860524	.	27.77443609	0.02233543233	133	0.2932330827067669	0.07616955128205129	0	0.0	2717	P. echinospica	(0.4, 0.7]	0.023924414293437498	0.34215528125	0.070063825	36.53125	0.0366972	0.5342726666666667
PE_Scaf10180:221179..224912	-	Gypsy	1.096421	231	1.15774	.	34.44036697	0.01645632982	218	0.25229357798165136	0.06522690727272729	0	0.0	3744	P. echinospica	(0.7, 1.1]	0.0198323767991875	0.245899771875	0.09727393125	66.875	0.04577465	0.8511016666666666
PE_Scaf10180:246045..252417	+	Gypsy	0.674794	503	1.14716	.	37.85287846	0.01497739168	469	0.27505330490405117	0.05445268759689923	0	0.0	6383	P. echinospica	(0.4, 0.7]	0.0349065073359375	0.4656905625	0.075220615625	29.46875	0.0348837	0.6733763333333332
PE_Scaf10180:247996..252417	+	Gypsy	0.223182	355	1.13728	.	38.93093093	0.01518564294	333	0.3063063063063063	0.04957665784313725	0	0.5	4432	P. echinospica	(0.2, 0.4]	0.032063986109	0.42880665625	0.074428803125	38.5	0.0348837	0.6611991666666667
PE_Scaf10186:176693..180868	+	Gypsy	0.862754	259	0.980089	.	16.39830508	0.01575251525	118	0.13559322033898305	0.1161748	0	0.0	4186	P. echinospica	(0.7, 1.1]	0.04503604417380952	0.39873285714285717	0.11420539523809523	19.714285714285715	0.0722222	0.9478061666666667
PE_Scaf10195:52003..56557	+	Gypsy	0.235481	380	1.25805	gene	23.64872521	0.009179267705	353	0.11048158640226628	0.083084141025641	0	0.5	4565	P. echinospica	(0.2, 0.4]	0.03640806790484375	0.2215636875	0.12789634375	43.3125	0.0429448	1.8193566666666665
PE_Scaf10195:59543..63898	+	Gypsy	0.739687	317	1.09759	.	21.22108844	0.01023712517	294	0.1292517006802721	0.07920302105263158	0	0.0	4366	P. echinospica	(0.7, 1.1]	0.2214903501036875	0.523795521875	0.2713171625	30.21875	0.0414013	0.6891241666666668
PE_Scaf10196:216949..221807	+	Gypsy	1.527179	298	1.05856	.	23.51612903	0.0181399172	279	0.25089605734767023	0.07230052714285715	0	0.0	4869	P. echinospica	(1.1, 5.0]	0.069520406715875	0.509904134375	0.12454009375	22.53125	0.0388889	0.6556906666666666
PE_Scaf10201:93143..97186	+	Gypsy	1.865991	262	1.04679	.	18.57936508	0.0166210373	252	0.20238095238095238	0.08212747843137257	0	0.0	4054	P. echinospica	(1.1, 5.0]	0.0310485566966875	0.3427484375	0.0837843875	40.4375	0.0405405	0.6724843333333334
PE_Scaf10203:174541..176696	?	LINE	1.748786	27	0.397663	gene	15.88888889	0.06927381111	27	0.5185185185185185	0.13359949285714284	0	0.0	2166	P. echinospica	(1.1, 5.0]	0.054463085201875004	0.5409693125	0.094888728125	22.1875	0.00612745	0.17315270000000002
PE_Scaf10203:174679..176558	?	LINE	1.906665	26	0.476	gene	15.84615385	0.06288841923	26	0.5	0.12577683846153845	0	0.0	1890	P. echinospica	(1.1, 5.0]	0.057395354705	0.5409225	0.099610371875	22.4375	0.0074074	0.20775895
PE_Scaf10224:112144..116783	+	Gypsy	0.0	316	1.03215	.	19.0239726	0.01623296199	292	0.1541095890410959	0.10533388666666667	0	1.0	4650	P. echinospica	(0.0, 0.2]	0.32168332791709375	0.62974309375	0.358898978125	29.96875	0.0652174	0.8845333333333333
PE_Scaf10241:37735..42298	+	Gypsy	0.207528	360	1.13313	.	11.56521739	0.008996365217	230	0.09565217391304348	0.0940529090909091	0	0.5	4574	P. echinospica	(0.0, 0.2]	0.05401222760988462	0.22164721923076922	0.1733858576923077	22.307692307692307	0.0594595	0.8066133333333333
PE_Scaf1026:63018..68022	-	Gypsy	0.510566	346	1.08437	.	24.7652439	0.01826119085	328	0.21646341463414634	0.0843615577464789	0	0.0	5015	P. echinospica	(0.4, 0.7]	0.0307341889359375	0.38048090625	0.081284590625	27.90625	0.05066075	0.7857366666666667
PE_Scaf1026:149000..153441	+	Gypsy	0.707915	206	0.800662	.	17.69191919	0.02458759949	198	0.2777777777777778	0.08851535818181817	0	0.0	4452	P. echinospica	(0.4, 0.7]	0.023108998557354838	0.24363442258064516	0.09045673548387097	26.419354838709676	0.0366972	0.5243006666666666
PE_Scaf10260:76118..79914	?		1.26817	137	0.697808	gene	11.5915493	0.6596701873	71	0.9436619718309859	0.6990534820895521	1	0.0	3805	P. echinospica	(1.1, 5.0]	0.66029266538125	0.9793591875000001	0.6723898125	13.1875	0.01623375	0.331238
PE_Scaf10274:160141..164685	-	Gypsy	0.309344	338	1.13484	.	14.62046205	0.01040303399	303	0.11221122112211221	0.09270939117647059	0	0.5	4555	P. echinospica	(0.2, 0.4]	0.02679177522596875	0.272916453125	0.106924440625	15.09375	0.032002050000000004	0.6345558333333333
PE_Scaf10276:15660..22253	+	Gypsy	0.861328	305	0.989211	.	18.59642857	0.02343185571	280	0.25	0.09372742285714286	0	0.0	6604	P. echinospica	(0.7, 1.1]	0.038004854958125	0.4015786875	0.10106638125	25.1875	0.0582024	0.7849161666666667
PE_Scaf10298:49551..54913	+	Gypsy	0.588717	253	0.887109	.	18.7704918	0.02683953197	244	0.2540983606557377	0.10562654516129033	0	0.0	5373	P. echinospica	(0.4, 0.7]	0.0300176194075	0.365202765625	0.084819034375	30.3125	0.0279188	0.5202923333333334
PE_Scaf10305:1089499..1092093	+	Gypsy	0.769279	234	1.38381	.	28.39819005	0.01213577557	221	0.19004524886877827	0.06385729523809525	0	0.0	2605	P. echinospica	(0.7, 1.1]	0.45479887118519996	0.6963261199999999	0.50639848	19.76	0.06953645	0.98529
PE_Scaf10305:1133894..1139007	+	Gypsy	0.255843	376	1.14786	.	20.65507246	0.01711125565	345	0.21739130434782608	0.07871177600000001	0	0.5	5124	P. echinospica	(0.2, 0.4]	0.1234732842184375	0.5530844375	0.1683290375	30.875	0.05	0.8962466666666667
PE_Scaf10306:123111..128973	+	Bel-Pao	0.425782	301	0.975203	gene	26.78451178	0.9297790067	297	1.0	0.9297790067340067	1	0.5	5873	P. echinospica	(0.2, 0.4]	0.869519623353125	1.0	0.8695195625	16.5	0.0607735	1.0232866666666667
PE_Scaf10306:165137..171002	+	Gypsy	0.333486	393	0.970103	gene	15.37535817	0.01565504413	349	0.15472779369627507	0.10117797037037037	0	0.5	5874	P. echinospica	(0.2, 0.4]	0.36002572531625	0.64883703125	0.412982575	33.21875	0.07122565	0.7219591666666666
PE_Scaf10309:84135..87356	+	Gypsy	1.511114	231	1.25738	.	20.47004608	0.8323981705	217	1.0	0.8323981705069124	1	0.0	3230	P. echinospica	(1.1, 5.0]	0.779068641321875	1.0	0.77906865625	19.53125	0.08413465	2.7918366666666667
PE_Scaf10309:89867..94769	+	Gypsy	0.238399	309	1.08056	.	10.8125	0.8843799167	96	1.0	0.8843799166666667	1	0.5	4913	P. echinospica	(0.2, 0.4]	0.712804402640625	1.0	0.71280446875	25.3125	0.0310559	0.6029396666666667
PE_Scaf10317:34581..37742	+	Gypsy	1.40741	218	1.14432	.	25.38388626	0.0300125654	211	0.2796208530805687	0.10733307288135592	0	0.0	3172	P. echinospica	(1.1, 5.0]	0.42208037514375	0.705987625	0.474590296875	34.84375	0.06547855	0.8388399999999999
PE_Scaf10317:189808..195135	?	LINE	4.392136	145	0.743978	.	29.02816901	0.03652748873	142	0.5211267605633803	0.0700932891891892	0	0.0	5336	P. echinospica	(1.1, 5.0]	0.02581920382853125	0.2696158125	0.09091655	36.0625	0.0136885	0.3994298333333333
PE_Scaf10317:198413..202848	-	Gypsy	1.140313	324	1.07103	.	27.02922078	0.0114972224	308	0.18181818181818182	0.0632347232142857	0	0.0	4446	P. echinospica	(1.1, 5.0]	0.2634956761053125	0.5107516875	0.325817415625	29.46875	0.0263158	0.5894713333333333
PE_Scaf10317:237615..242440	+	Gypsy	0.678763	178	0.706977	gene	14.03125	0.7494940797	64	1.0	0.7494940796875	1	0.0	4836	P. echinospica	(0.4, 0.7]	0.744807070825	1.0	0.7448069999999999	2.9166666666666665	0.014421650000000001	0.37982899999999997
PE_Scaf10317:259849..263289	-	Gypsy	1.437475	138	0.719216	gene	21.84782609	0.7386400072	138	1.0	0.7386400072463768	1	0.0	3449	P. echinospica	(1.1, 5.0]	0.6651857303425	0.916981125	0.69508721875	20.4375	0.049738199999999996	0.7013014999999999
PE_Scaf10320:77463..82040	+	Gypsy	0.571229	309	1.05	.	20.05944056	0.01946042517	286	0.1958041958041958	0.09938717142857142	0	0.0	4588	P. echinospica	(0.4, 0.7]	0.03121441517375	0.31391562500000003	0.10054919375	43.6875	0.06223835	0.8975516666666667
PE_Scaf10321:192182..195973	+	Gypsy	0.361714	338	1.28414	gene	22.76129032	0.01541205355	310	0.22580645161290322	0.06825338	0	0.5	3802	P. echinospica	(0.2, 0.4]	0.0389552085775	0.48772125	0.07863071875	23.90625	0.0377358	0.8819500000000001
PE_Scaf10326:58038..63045	+	Gypsy	1.030334	335	1.06171	.	15.96624473	0.009096203797	237	0.10548523206751055	0.08623201199999998	0	0.0	5018	P. echinospica	(0.7, 1.1]	0.032784726288125	0.529187625	0.062435306249999996	30.8125	0.04845815	0.7503183333333334
PE_Scaf10326:75219..80204	+	Gypsy	1.292522	333	1.05583	.	12.46153846	0.01824457692	13	0.23076923076923078	0.07905983333333333	0	0.0	4996	P. echinospica	(1.1, 5.0]	0.039689514930625	0.4246175625	0.091907725	29.6875	0.047969849999999994	0.75841
PE_Scaf10326:85425..90415	+	Gypsy	1.1043	333	1.05525	.	10.96363636	0.01239880727	55	0.10909090909090909	0.11365573333333333	0	0.0	5001	P. echinospica	(1.1, 5.0]	0.0333792843528125	0.3665443125	0.087959640625	35.96875	0.047969849999999994	0.7583083333333334
PE_Scaf10341:55612..57090	+	Gypsy	0.607307	88	1.07493	.	92.77647059	0.01992947082	85	0.5411764705882353	0.036826196086956524	0	0.0	1489	P. echinospica	(0.4, 0.7]	0.025066881650625	0.5807061875	0.04297520625	30.59375	0.0433071	0.7127483333333333
PE_Scaf10345:141992..146485	+	Gypsy	0.0	365	1.18346	gene	22.0922619	0.01190183839	336	0.17261904761904762	0.06894858103448274	0	1.0	4502	P. echinospica	(0.0, 0.2]	0.0230911972303125	0.24400683125	0.107439203125	42.03125	0.05021715	0.8909416666666666
PE_Scaf10354:218839..224054	+	Gypsy	1.745016	332	1.03352	.	23.23197492	0.01409570188	319	0.21316614420062696	0.06612542500000002	0	0.0	5226	P. echinospica	(1.1, 5.0]	0.028756826514375	0.34931125	0.094189125	32.40625	0.05379745	0.7420450000000001
PE_Scaf10356:39329..43585	+	Gypsy	0.674794	340	1.15656	.	16.21895425	0.01258050523	306	0.12418300653594772	0.10130617368421053	0	0.0	4267	P. echinospica	(0.4, 0.7]	0.0292554815774375	0.294656140625	0.094933490625	27.9375	0.03744185	0.6924588333333332
PE_Scaf10367:92613..96997	+	Gypsy	0.644631	273	0.980337	gene	18.08267717	0.01758994173	254	0.18110236220472442	0.09712706956521737	0	0.0	4395	P. echinospica	(0.4, 0.7]	0.02648467286825	0.301680375	0.084855475	40.8125	0.0722222	0.9357373333333333
PE_Scaf10376:102826..107201	-	Gypsy	0.261054	317	1.17753	.	11.96216216	0.8099209546	185	1.0	0.8099209545945947	1	0.5	4386	P. echinospica	(0.2, 0.4]	0.557091032096875	0.97373253125	0.57220659375	12.59375	0.0544218	0.8921250000000001
PE_Scaf10390:74664..78621	+	Gypsy	1.257797	264	1.0912	.	25.13095238	0.01641242262	252	0.1984126984126984	0.08271861000000001	0	0.0	3968	P. echinospica	(1.1, 5.0]	0.0418542963071875	0.4322535	0.085036359375	34.9375	0.0361446	0.6219808333333333
PE_Scaf10390:364176..368842	-	Gypsy	2.03533	157	0.697737	.	28.29032258	0.02115087032	155	0.36129032258064514	0.0585425875	0	0.0	4677	P. echinospica	(1.1, 5.0]	0.027576220035625	0.42168078125	0.06848053125	38.59375	0.035389149999999994	0.4947255
PE_Scaf10395:26952..31328	-	Gypsy	0.261054	317	1.17435	.	22.37748344	0.01651984503	302	0.18211920529801323	0.09070896727272727	0	0.5	4387	P. echinospica	(0.2, 0.4]	0.0417609580778125	0.4285458125	0.093399	28.59375	0.047619	0.8275766666666667
PE_Scaf1040:309504..314012	+	Gypsy	0.996947	332	1.11193	.	24.18006431	0.01438528682	311	0.24115755627009647	0.059650989333333335	0	0.0	4519	P. echinospica	(0.7, 1.1]	0.09891681218593751	0.44846659375	0.166237340625	33.40625	0.0447289	0.7532800000000001
PE_Scaf10404:3415..7885	-	Gypsy	1.02484	224	0.902333	.	22.50462963	0.02163733009	216	0.2916666666666667	0.07418513174603175	0	0.0	4481	P. echinospica	(0.7, 1.1]	0.05971088443766667	0.6143967333333333	0.10146787	17.966666666666665	0.0578947	0.7818916666666667
PE_Scaf10405:54787..65285	+	Gypsy	0.475825	432	0.933902	.	11.98380567	0.01514475344	247	0.1214574898785425	0.12469180333333334	0	0.5	10509	P. echinospica	(0.4, 0.7]	0.3040657214806296	0.566208525925926	0.3900258037037037	12.333333333333334	0.0640082	0.7870895
PE_Scaf10410:278087..282647	-	Gypsy	0.507197	251	0.873479	.	19.2008547	0.01894273034	234	0.21794871794871795	0.08691370392156864	0	0.0	4569	P. echinospica	(0.4, 0.7]	0.18790848635125	0.479392625	0.261961296875	39.03125	0.0328947	0.5910233333333333
PE_Scaf10411:60489..64952	-	Gypsy	0.535441	261	0.98979	gene	29.61023622	0.9145810276	254	1.0	0.9145810275590551	1	0.0	4474	P. echinospica	(0.4, 0.7]	0.8165713267689655	1.0	0.8165713103448277	13.551724137931034	0.045138899999999996	0.6355256666666667
PE_Scaf10420:276513..280788	-	Gypsy	0.239885	202	0.934025	.	26.55612245	0.02547982857	196	0.32653061224489793	0.078031975	0	0.5	4286	P. echinospica	(0.2, 0.4]	0.029332604965000002	0.38931859375	0.075069425	29.90625	0.04969135	0.9298686666666667
PE_Scaf10437:56568..60812	+	Gypsy	2.252556	220	0.945503	.	28.10280374	0.02590771449	214	0.397196261682243	0.06522648117647059	0	0.0	4255	P. echinospica	(1.1, 5.0]	0.0288890264671875	0.322439875	0.09270726875	42.6875	0.0566038	0.7887713333333334
PE_Scaf10448:48823..52954	+	Gypsy	0.0	276	1.12395	.	23.33207547	0.0229770566	265	0.28679245283018867	0.08011736842105266	0	1.0	4142	P. echinospica	(0.0, 0.2]	0.163768568668125	0.540194875	0.226172184375	20.5	0.047619	0.8184149999999999
PE_Scaf10482:63663..68070	+	Gypsy	0.550776	280	1.14117	.	22.91954023	0.01810775326	261	0.20689655172413793	0.0875208074074074	0	0.0	4418	P. echinospica	(0.4, 0.7]	0.03204699998625	0.4282285	0.076764990625	25.875	0.05	0.7780116666666667
PE_Scaf10491:51045..55652	+	Gypsy	0.299702	299	1.07518	.	18.92335766	0.01515596168	274	0.15328467153284672	0.09887460714285715	0	0.5	4618	P. echinospica	(0.2, 0.4]	0.0251087721424375	0.24477324687500002	0.10016404375	30.71875	0.046875	0.8010166666666666
PE_Scaf10503:10941..14292	?		2.796314	61	0.494321	.	24.67241379	0.7438125172	58	1.0	0.7438125172413793	1	0.0	3362	P. echinospica	(1.1, 5.0]	0.6794391568275863	1.0	0.6794392758620689	12.931034482758621	0.01951435	0.35221966666666665
PE_Scaf10521:179832..183838	?	Gypsy	0.774442	288	1.14045	.	23.39393939	0.02204445985	264	0.25	0.0881778393939394	0	0.0	4017	P. echinospica	(0.7, 1.1]	0.01695502851865625	0.1847972375	0.091217115625	59.6875	0.04333335	0.8179216666666665
PE_Scaf10525:26364..36941	-	Gypsy	0.0	468	0.796712	.	21.70654628	0.02837749323	443	0.2979683972911964	0.09523658712121214	0	1.0	10590	P. echinospica	(0.0, 0.2]	0.05251045979865625	0.3675464375	0.120733765625	32.84375	0.052842200000000006	0.5421256666666666
PE_Scaf10532:58267..62772	+	Gypsy	0.769278	253	1.0679	.	30.08870968	0.01761518911	248	0.2782258064516129	0.06331256376811595	0	0.0	4516	P. echinospica	(0.7, 1.1]	0.22414693088906248	0.54048209375	0.272755	34.3125	0.03616415	0.7388266666666666
PE_Scaf10532:194665..199022	-	Gypsy	0.21328	273	0.977043	.	27.92015209	0.02314112129	263	0.3726235741444867	0.062103213265306115	0	0.5	4368	P. echinospica	(0.0, 0.2]	0.02844848316	0.37930746875	0.075889709375	40.09375	0.0722222	0.9310058333333334
PE_Scaf10536:68412..72833	+	Gypsy	0.475824	328	1.07868	.	15.51178451	0.01868890774	297	0.2255892255892256	0.08284485970149252	0	0.5	4432	P. echinospica	(0.4, 0.7]	0.03371286175796875	0.39244603125	0.08498448125	27.6875	0.0308642	0.6156743333333333
PE_Scaf10556:95748..100749	+	Gypsy	0.688897	335	1.06932	.	27.05329154	0.01498758809	319	0.2413793103448276	0.062091436363636364	0	0.0	5012	P. echinospica	(0.4, 0.7]	0.03809777589625	0.41052728125	0.096594434375	34.375	0.06444445	0.86985
PE_Scaf1056:73800..78307	+	Gypsy	1.073472	297	1.07528	.	26.92387543	0.02056959654	289	0.23875432525951557	0.08615381739130436	0	0.0	4518	P. echinospica	(0.7, 1.1]	0.041951713320625	0.41240196875	0.10667130625	23.28125	0.0551724	0.743345
PE_Scaf10579:139357..144075	+	Gypsy	0.752958	384	1.26771	.	14.49557522	0.01340053923	339	0.13569321533923304	0.09875614782608695	0	0.0	4729	P. echinospica	(0.7, 1.1]	0.02157923539034375	0.228473778125	0.098571840625	33.59375	0.06553400000000001	1.0163283333333333
PE_Scaf10579:191313..197947	+	Maverick	0.716709	610	1.40061	gene	13.07185629	0.01443496048	167	0.1377245508982036	0.10481036521739133	0	0.0	6647	P. echinospica	(0.7, 1.1]	0.045307397104783334	0.20512277	0.18323191	48.93333333333333	0.0312512	0.6518373333333334
PE_Scaf10580:365163..375237	?	LINE	3.835009	305	0.748776	gene	25.57534247	0.04972538288	292	0.363013698630137	0.13697935660377358	0	0.0	10083	P. echinospica	(1.1, 5.0]	0.4890931601784375	0.73518146875	0.514277	25.78125	0.01394185	0.4026985
PE_Scaf10584:15459..25919	?	LINE	3.097205	139	0.415162	.	24.08759124	0.6190206445	137	1.0	0.6190206445255475	1	0.0	10469	P. echinospica	(1.1, 5.0]	0.47357826040968753	0.89339696875	0.50128925	18.375	0.01721035	0.3135911666666667
PE_Scaf10584:50450..54795	+	Gypsy	0.261054	318	1.18608	.	17.22299652	0.008716578049	287	0.10452961672473868	0.08338859666666666	0	0.5	4356	P. echinospica	(0.2, 0.4]	0.0980641774423742	0.3379368774193548	0.23805435483870968	39.70967741935484	0.0544218	0.9132000000000001
PE_Scaf10601:55571..59947	-	Gypsy	0.261054	320	1.18128	.	78.23606557	0.01654571626	305	0.35737704918032787	0.046297646422018356	0	0.5	4387	P. echinospica	(0.2, 0.4]	0.0250632023474375	0.57530721875	0.0425568125	41.25	0.0544218	0.9014816666666667
PE_Scaf10602:34996..39414	-	Gypsy	0.607307	251	1.05541	.	29.48117155	0.01884645146	239	0.24686192468619247	0.0763441	0	0.0	4429	P. echinospica	(0.4, 0.7]	0.03067005612625	0.45011634375	0.070682884375	24.21875	0.0433071	0.7216833333333333
PE_Scaf10602:419450..424421	-	Gypsy	0.169187	337	1.06784	.	14.1875	0.030622325	16	0.375	0.08165953333333333	0	0.5	4982	P. echinospica	(0.0, 0.2]	0.03326755384125	0.312511490625	0.10929515000000001	24.90625	0.0484581	0.75721
PE_Scaf10614:228495..233102	+	Gypsy	0.0	303	1.08767	.	14.46245059	0.02469090988	253	0.15810276679841898	0.15617000500000003	0	1.0	4618	P. echinospica	(0.0, 0.2]	0.2684443434178125	0.64872446875	0.31828385	22.25	0.046875	0.7961633333333333
PE_Scaf10618:639488..643858	+	Gypsy	0.769279	376	1.28738	.	22.31073446	0.0162962387	354	0.1807909604519774	0.0901385703125	0	0.0	4381	P. echinospica	(0.7, 1.1]	0.025237057002375	0.329367	0.0741177625	42.5625	0.07615895	2.01768
PE_Scaf10620:64725..71253	-	Gypsy	0.235481	178	0.573781	.	18.98026316	0.03079092895	152	0.34210526315789475	0.09000425384615385	0	0.5	6539	P. echinospica	(0.2, 0.4]	0.042163642661875	0.41645096875	0.09699276875	24.09375	0.0429448	0.48543200000000003
PE_Scaf10622:89045..93655	+	Gypsy	0.908619	298	1.07405	gene	22.91007194	0.02641381223	278	0.26618705035971224	0.09923026756756755	0	0.0	4621	P. echinospica	(0.7, 1.1]	0.02985513312769231	0.3062413076923077	0.10089521923076925	27.692307692307693	0.04296875	0.7465266666666667
PE_Scaf1063:194..4811	-	Gypsy	1.066029	219	0.991568	.	15.93129771	0.03128263893	131	0.2824427480916031	0.11075745135135136	0	0.0	4626	P. echinospica	(0.7, 1.1]	0.028715897121875	0.2522369375	0.105054125	65.3125	0.041095900000000005	0.6173145
PE_Scaf1063:5914..10665	-	Gypsy	0.512832	325	1.08838	.	22.18064516	0.02404553613	310	0.24193548387096775	0.099388216	0	0.0	4762	P. echinospica	(0.4, 0.7]	0.21164635544271876	0.5064735625	0.27066391562500003	35.03125	0.07064055	0.9282533333333333
PE_Scaf10636:544825..549335	+	Gypsy	0.254153	367	1.11753	gene	15.15030675	0.8892894018	326	1.0	0.8892894018404908	1	0.5	4522	P. echinospica	(0.2, 0.4]	0.724128735528125	1.0	0.7241286875	18.0625	0.036912749999999994	0.7205015
PE_Scaf10639:64238..68836	-	Gypsy	0.0	338	1.20234	.	22.30793651	0.01517278698	315	0.1873015873015873	0.0810072525423729	0	1.0	4609	P. echinospica	(0.0, 0.2]	0.0940483791811875	0.44655175	0.152600309375	49.78125	0.0754717	0.9126183333333334
PE_Scaf10639:78363..82664	-	Gypsy	0.769279	373	1.29314	.	18.37931034	0.01313600776	348	0.16954022988505746	0.07748018135593221	0	0.0	4312	P. echinospica	(0.7, 1.1]	0.0274664200996875	0.31431071875	0.08881559375	56.1875	0.0728477	1.6277683333333333
